Ticker SYMBOL,資料日期,單月營收年增率(%),毛利率(%),營業利益率(%),單季EPS,ROE(%),稅後淨利率(%),負債比率(%),本業獲利比(%),預估殖利率(%),Revenue_Growth_Score,Profitability_Score,BalanceSheet_Score,Dividend_Score,Quality_Total_Score,資料來源
6719.TW,2025-12-31,,34.99,15.13,,1.74,20.58,16.26,61.8,106.0,0.0,0.5679111111111111,0.8483333333333334,1.0,0.5608522222222222,fundamentals_clean
6722.TW,2025-12-31,,25.13,6.75,,3.13,5.37,54.36,93.0,386.0,0.0,0.24645833333333333,0.7564,1.0,0.4253604166666667,fundamentals_clean
6742.TW,2025-12-31,,-14.56,-39.22,,-0.12,-1.49,26.05,173.36,76.0,0.0,0.0,1.0,1.0,0.4,fundamentals_clean
6743.TW,2025-12-31,,19.67,7.71,,1.77,3.37,70.68,183.48,676.0,0.0,0.20072500000000001,0.5932,1.0,0.36855375,fundamentals_clean
6753.TW,2025-12-31,,20.29,15.81,,5.53,15.26,57.6,85.3,99.0,0.0,0.4404194444444445,0.724,1.0,0.48514680555555556,fundamentals_clean
6754.TW,2025-12-31,,29.24,8.08,,3.19,9.3,47.79,75.55,889.0,0.0,0.33171666666666666,0.7850166666666667,1.0,0.46235499999999996,fundamentals_clean
6756.TW,2025-12-31,,47.15,-9.67,,0.95,6.81,24.87,-139.15,128.0,0.0,0.31929166666666664,0.5,1.0,0.38675208333333333,fundamentals_clean
6757.TW,2025-12-31,,25.31,16.45,,6.8,11.55,71.62,113.5,1235.0,0.0,0.4442083333333333,0.5837999999999999,1.0,0.4514229166666667,fundamentals_clean
6768.TW,2025-12-31,,18.24,6.43,,1.93,5.87,31.62,81.81,730.0,0.0,0.21123055555555553,0.9838,1.0,0.46988069444444447,fundamentals_clean
6770.TW,2025-12-31,,6.36,-5.76,,-0.8,-5.23,54.11,121.45,,0.0,0.0075555555555555575,0.7589,0.0,0.19236944444444445,fundamentals_clean
6771.TW,2025-12-31,,43.92,21.23,,1.67,10.66,35.74,138.51,729.0,0.0,0.5617722222222222,0.9426,1.0,0.5822702777777777,fundamentals_clean
6776.TW,2025-12-31,,6.21,1.75,,2.85,1.08,72.71,128.26,526.0,0.0,0.037722222222222226,0.5729000000000001,1.0,0.3064277777777778,fundamentals_clean
6781.TW,2025-12-31,,33.98,21.96,,4.82,18.17,32.18,95.43,131.0,0.0,0.6077250000000001,0.9782,1.0,0.60725375,fundamentals_clean
6782.TW,2025-12-31,,46.97,29.54,,5.65,23.51,25.97,120.8,266.0,0.0,0.7412916666666667,1.0,1.0,0.6594520833333334,fundamentals_clean
6789.TW,2025-12-31,,26.6,18.59,,2.09,16.83,17.48,92.39,94.0,0.0,0.516275,1.0,1.0,0.58069625,fundamentals_clean
6790.TW,2025-12-31,,30.7,11.27,,3.68,8.34,44.86,104.29,627.0,0.0,0.3597277777777778,0.8514,1.0,0.48875472222222227,fundamentals_clean
6792.TW,2025-12-31,,30.81,2.27,,1.05,5.52,22.0,41.71,461.0,0.0,0.23508888888888885,0.6809166666666666,1.0,0.4025102777777777,fundamentals_clean
6794.TW,2025-12-31,,48.84,-571.28,,-3.44,-468.06,8.52,122.05,,0.0,0.24355555555555558,1.0,0.0,0.33524444444444446,fundamentals_clean
6796.TW,2025-12-31,,42.02,14.18,,4.53,15.32,52.58,75.43,68.0,0.0,0.5389666666666667,0.7361166666666668,1.0,0.5226675000000001,fundamentals_clean
6799.TW,2025-12-31,,47.89,20.68,,3.65,25.42,12.99,68.18,269.0,0.0,0.6950777777777778,0.9015000000000001,1.0,0.6186522222222223,fundamentals_clean
6805.TW,2025-12-31,,29.05,21.75,,10.45,18.9,51.0,96.18,42.0,0.0,0.6554861111111111,0.79,1.0,0.5769201388888889,fundamentals_clean
6806.TW,2025-12-31,,-68.29,-75.15,,-9073.02,-80.55,99.91,76.65,353.0,0.0,0.0,0.47208333333333335,1.0,0.2680208333333333,fundamentals_clean
