Ticker SYMBOL,資料日期,單月營收年增率(%),毛利率(%),營業利益率(%),單季EPS,ROE(%),稅後淨利率(%),負債比率(%),本業獲利比(%),預估殖利率(%),Revenue_Growth_Score,Profitability_Score,BalanceSheet_Score,Dividend_Score,Quality_Total_Score,資料來源
1466.TW,2025-12-31,,0.54,-9.47,,-3.12,-7.71,55.54,86.87,,0.0,0.0,0.7445999999999999,0.0,0.18614999999999998,fundamentals_clean
1467.TW,2025-12-31,,23.39,1.92,,2.64,6.11,65.91,27.66,,0.0,0.19774166666666665,0.20473333333333338,0.0,0.12039291666666667,fundamentals_clean
1468.TW,2025-12-31,,18.12,2.31,,2.75,22.57,54.24,7.55,,0.0,0.3459888888888889,0.25759999999999994,0.0,0.18549611111111108,fundamentals_clean
1470.TW,2025-12-31,,30.3,17.92,,3.92,18.81,12.66,76.57,468.0,0.0,0.5548805555555556,0.9714166666666666,1.0,0.5870623611111111,fundamentals_clean
1471.TW,2025-12-31,,5.75,-72.91,,0.83,37.78,7.6,-190.3,,0.0,0.25416666666666665,0.5,0.0,0.2139583333333333,fundamentals_clean
1472.TW,2025-12-31,,11.18,7.14,,2.97,7.46,57.61,84.43,313.0,0.0,0.19898333333333332,0.7239,1.0,0.40061916666666664,fundamentals_clean
1473.TW,2025-12-31,,13.69,-4.13,,-0.75,-2.31,28.54,225.77,839.0,0.0,0.048277777777777774,1.0,1.0,0.41689722222222225,fundamentals_clean
1474.TW,2025-12-31,,9.34,-2.24,,0.3,0.87,41.06,-626.61,403.0,0.0,0.03498611111111111,0.38939999999999997,1.0,0.25959513888888885,fundamentals_clean
1475.TW,2025-12-31,,18.08,12.2,,5.5,23.48,32.57,41.27,520.0,0.0,0.45091666666666663,0.6515500000000001,1.0,0.4707083333333333,fundamentals_clean
1476.TW,2025-12-31,,30.19,19.16,,5.34,17.08,15.41,90.57,527.0,0.0,0.5492944444444443,1.0,1.0,0.5922530555555555,fundamentals_clean
1477.TW,2025-12-31,,26.73,13.56,,6.13,10.97,40.7,100.09,685.0,0.0,0.4075722222222222,0.893,1.0,0.5159002777777778,fundamentals_clean
1503.TW,2025-12-31,,17.2,7.15,,1.14,4.36,38.68,107.12,251.0,0.0,0.19377777777777777,0.9132,1.0,0.4461222222222222,fundamentals_clean
1504.TW,2025-12-31,,23.29,6.78,,1.07,6.87,31.96,76.08,362.0,0.0,0.2552861111111111,0.9477333333333333,1.0,0.4762834722222222,fundamentals_clean
1506.TW,2025-12-31,,17.27,-0.28,,0.17,1.95,12.95,-9.98,,0.0,0.09254166666666666,0.5,0.0,0.15738958333333333,fundamentals_clean
1512.TW,2025-12-31,,28.43,-3.59,,2.24,4.56,76.93,-67.5,,0.0,0.18716666666666665,0.03069999999999995,0.0,0.07318333333333331,fundamentals_clean
1513.TW,2025-12-31,,27.0,17.6,,4.93,14.5,56.21,97.44,319.0,0.0,0.4794722222222222,0.7379,1.0,0.5022902777777778,fundamentals_clean
1514.TW,2025-12-31,,20.06,11.68,,4.7,9.52,51.75,94.03,169.0,0.0,0.3194666666666667,0.7825,1.0,0.4574383333333333,fundamentals_clean
1515.TW,2025-12-31,,13.22,0.81,,4.81,10.64,51.79,6.09,424.0,0.0,0.1867666666666667,0.2821,1.0,0.28589333333333333,fundamentals_clean
1516.TW,2025-12-31,,5.36,-14.33,,-1.06,-9.6,1.07,119.5,,0.0,0.0020000000000000018,1.0,0.0,0.2507,fundamentals_clean
1517.TW,2025-12-31,,1.66,-19.75,,-0.18,-1.29,16.77,930.93,179.0,0.0,0.0,1.0,1.0,0.4,fundamentals_clean
1519.TW,2025-12-31,,42.2,20.05,,15.51,20.73,61.65,82.04,113.0,0.0,0.7885416666666667,0.6835,1.0,0.5968645833333334,fundamentals_clean
1521.TW,2025-12-31,,17.04,3.57,,2.16,4.14,37.66,68.88,407.0,0.0,0.1543388888888889,0.8307333333333333,1.0,0.4117019444444444,fundamentals_clean
1522.TW,2025-12-31,,15.03,0.21,,1.64,2.08,73.19,6.76,948.0,0.0,0.08382222222222221,0.06810000000000005,1.0,0.19636277777777777,fundamentals_clean
1524.TW,2025-12-31,,27.89,16.48,,3.7,15.75,41.99,83.75,465.0,0.0,0.48884166666666673,0.8801,1.0,0.5411195833333333,fundamentals_clean
1525.TW,2025-12-31,,20.24,6.22,,1.07,15.54,11.97,20.35,439.0,0.0,0.3411166666666666,0.5029166666666667,1.0,0.39511999999999997,fundamentals_clean
1526.TW,2025-12-31,,29.84,-7.49,,-0.3,-2.53,41.45,636.33,,0.0,0.138,0.8855,0.0,0.269675,fundamentals_clean
1527.TW,2025-09-30,,18.42,3.28,0.8,2.33,14.84,11.65,18.25,672.0,0.0,0.29285555555555554,0.5,1.0,0.3774994444444444,fundamentals_clean
1528.TW,2025-12-31,,31.45,1.3,,1.53,4.96,57.92,12.99,39.0,0.0,0.22194444444444444,0.2208,1.0,0.2828805555555556,fundamentals_clean
1529.TW,2025-12-31,,16.87,6.87,,0.35,2.68,40.76,143.19,88.0,0.0,0.16814444444444446,0.8924000000000001,1.0,0.4319505555555556,fundamentals_clean
1530.TW,2025-09-30,,15.17,-3.53,1.3,3.82,29.16,43.06,-9.18,576.0,0.0,0.3065,0.36939999999999995,1.0,0.34962499999999996,fundamentals_clean
1531.TW,2025-12-31,,19.51,-9.23,,0.58,6.31,15.91,-109.34,307.0,0.0,0.1594861111111111,0.5,1.0,0.33082013888888884,fundamentals_clean
1532.TW,2025-12-31,,24.21,5.31,,0.35,2.04,63.91,197.33,799.0,0.0,0.18532222222222222,0.6609,1.0,0.3800877777777778,fundamentals_clean
1533.TW,2025-12-31,,30.46,7.66,,2.59,5.96,69.84,85.55,,0.0,0.29254444444444444,0.6015999999999999,0.0,0.2527905555555555,fundamentals_clean
1535.TW,2025-12-31,,12.18,5.91,,3.93,5.59,47.39,84.29,570.0,0.0,0.16886388888888887,0.8261000000000001,1.0,0.4156273611111111,fundamentals_clean
1536.TW,2025-12-31,,-3.41,-18.19,,-2.32,-15.24,63.33,119.59,167.0,0.0,0.0,0.6667000000000001,1.0,0.31667500000000004,fundamentals_clean
1537.TW,2025-12-31,,18.72,9.92,,4.1,11.15,24.28,67.08,843.0,0.0,0.3147972222222222,0.8923333333333333,1.0,0.4832623611111111,fundamentals_clean
1538.TW,2025-12-31,,32.24,-59.15,,-28.61,-178.63,45.87,33.11,,0.0,0.15133333333333335,0.45055000000000006,0.0,0.1656041666666667,fundamentals_clean
1539.TW,2025-12-31,,10.35,0.97,,1.18,7.43,25.66,11.37,525.0,0.0,0.13229722222222223,0.5,1.0,0.3213040277777778,fundamentals_clean
1540.TW,2025-12-31,,38.26,24.39,,3.28,53.53,9.82,36.46,731.0,0.0,0.6786777777777777,0.6371666666666667,1.0,0.5468288888888888,fundamentals_clean
1541.TW,2025-12-31,,19.55,7.18,,3.73,10.54,33.53,59.2,194.0,0.0,0.2843833333333333,0.7913666666666668,1.0,0.4473758333333333,fundamentals_clean
1558.TW,2025-12-31,,28.36,6.49,,0.96,5.04,34.19,52.76,652.0,0.0,0.2576777777777778,0.7311,1.0,0.42296222222222224,fundamentals_clean
1560.TW,2025-12-31,,34.18,15.55,,5.65,22.08,35.97,57.2,90.0,0.0,0.5757361111111111,0.7503,1.0,0.5390826388888889,fundamentals_clean
1563.TW,2025-12-31,,18.31,3.34,,-0.16,-0.84,51.82,-348.35,546.0,0.0,0.10734444444444444,0.2818,1.0,0.25802055555555553,fundamentals_clean
1568.TW,2025-12-31,,34.44,17.18,,2.46,19.16,14.86,73.31,532.0,0.0,0.5748555555555555,0.94425,1.0,0.5872619444444445,fundamentals_clean
1582.TW,2025-12-31,,21.08,5.5,,0.89,3.21,41.0,84.91,524.0,0.0,0.1844583333333333,0.89,1.0,0.4370604166666666,fundamentals_clean
1583.TW,2025-12-31,,19.66,-2.16,,1.41,10.44,49.24,-14.22,695.0,0.0,0.21194444444444444,0.3076,1.0,0.3010805555555556,fundamentals_clean
1587.TW,2025-09-30,,18.76,2.64,0.18,0.96,2.12,58.22,119.93,138.0,0.0,0.12934444444444446,0.7178,1.0,0.37472055555555556,fundamentals_clean
1589.TW,2025-09-30,,7.87,-5.07,-2.29,-3.83,-14.89,68.78,33.23,,0.0,0.015944444444444445,0.22244999999999993,0.0,0.061193055555555535,fundamentals_clean
1590.TW,2025-12-31,,47.51,31.39,,4.43,25.76,8.61,95.9,201.0,0.0,0.7361666666666666,1.0,1.0,0.6576583333333333,fundamentals_clean
1597.TW,2025-12-31,,38.83,9.51,,1.47,10.6,41.16,72.26,82.0,0.0,0.41554444444444444,0.8239000000000001,1.0,0.5014155555555556,fundamentals_clean
1598.TW,2025-12-31,,27.77,-8.7,,-7.94,-21.19,56.31,31.9,254.0,0.0,0.1265,0.3360666666666666,1.0,0.2782916666666666,fundamentals_clean
1603.TW,2025-12-31,,9.14,6.41,,0.49,2.6,37.72,159.93,472.0,0.0,0.11960000000000001,0.9228000000000001,1.0,0.42256000000000005,fundamentals_clean
1604.TW,2025-12-31,,17.55,3.53,,1.64,7.08,51.99,44.16,591.0,0.0,0.1935222222222222,0.4814333333333333,1.0,0.3380911111111111,fundamentals_clean
1605.TW,2025-12-31,,4.9,-1.88,,0.58,2.42,41.96,-283.66,166.0,0.0,0.03025,0.38039999999999996,1.0,0.25568749999999996,fundamentals_clean
1608.TW,2025-12-31,,9.17,6.96,,2.99,11.84,35.15,53.07,321.0,0.0,0.24076666666666666,0.7240833333333334,1.0,0.4152891666666667,fundamentals_clean
1609.TW,2025-12-31,,13.61,8.7,,0.11,0.26,68.66,238.39,232.0,0.0,0.13808333333333334,0.6134000000000001,1.0,0.35167916666666665,fundamentals_clean
1611.TW,2025-12-31,,37.93,11.66,,-0.51,-8.73,18.52,-66.63,667.0,0.0,0.29954444444444445,0.5,1.0,0.3798405555555555,fundamentals_clean
1612.TW,2025-12-31,,16.53,12.52,,2.14,11.03,12.41,95.05,608.0,0.0,0.3271305555555556,1.0,1.0,0.5144956944444444,fundamentals_clean
1614.TW,2025-12-31,,25.15,7.6,,1.39,6.68,17.43,96.66,185.0,0.0,0.2714444444444444,1.0,1.0,0.4950055555555555,fundamentals_clean
1615.TW,2025-12-31,,24.96,21.2,,6.52,18.16,29.14,98.37,444.0,0.0,0.5688888888888889,1.0,1.0,0.5991111111111111,fundamentals_clean
1616.TW,2025-12-31,,13.02,9.95,,-5.72,-11.0,48.14,-89.71,782.0,0.0,0.14405555555555555,0.3186,1.0,0.2800694444444444,fundamentals_clean
1617.TW,2025-12-31,,6.74,-0.54,,7.66,19.72,30.54,-1.8,340.0,0.0,0.28941666666666666,0.4946,1.0,0.3749458333333333,fundamentals_clean
1618.TW,2025-12-31,,19.84,15.71,,2.77,18.48,21.87,72.5,391.0,0.0,0.47054444444444443,0.9375,1.0,0.5490655555555556,fundamentals_clean
1623.TW,2025-12-31,,21.29,16.58,,8.55,14.21,58.68,94.37,451.0,0.0,0.47829999999999995,0.7132000000000001,1.0,0.49570499999999995,fundamentals_clean
1626.TW,2025-12-31,,20.74,-2.3,,-3.01,-5.75,66.12,34.28,,0.0,0.08744444444444444,0.2578,0.0,0.09505555555555555,fundamentals_clean
1702.TW,2025-12-31,,24.82,2.11,,0.44,1.16,53.57,91.93,689.0,0.0,0.14571111111111112,0.7643,1.0,0.3920738888888889,fundamentals_clean
1707.TW,2025-12-31,,76.47,24.76,,3.69,14.82,23.33,92.68,498.0,0.0,0.6828500000000001,1.0,1.0,0.6389975,fundamentals_clean
1708.TW,2025-12-31,,33.86,19.35,,3.66,16.55,40.96,104.06,478.0,0.0,0.5607083333333334,0.8904,1.0,0.5688479166666667,fundamentals_clean
1709.TW,2025-12-31,,17.58,8.27,,1.9,8.55,23.99,80.32,449.0,0.0,0.2594638888888889,1.0,1.0,0.49081236111111115,fundamentals_clean
1710.TW,2025-12-31,,-1.71,-6.86,,-3.28,-7.64,64.58,82.17,,0.0,0.0,0.6542,0.0,0.16355,fundamentals_clean
1711.TW,2025-12-31,,17.63,-5.19,,-0.25,-1.14,34.07,157.53,80.0,0.0,0.07016666666666665,0.9593,1.0,0.4143833333333333,fundamentals_clean
1712.TW,2025-12-31,,29.22,6.49,,2.6,5.12,43.86,101.64,574.0,0.0,0.26345555555555555,0.8613999999999999,1.0,0.4575594444444444,fundamentals_clean
1713.TW,2025-12-31,,6.57,-10.82,,5.19,145.05,4.17,-7.46,1641.0,0.0,0.2610972222222222,0.5,1.0,0.3663840277777778,fundamentals_clean
1714.TW,2025-12-31,,14.2,8.91,,0.73,1.76,30.99,130.5,215.0,0.0,0.1622111111111111,0.9901,1.0,0.4542988888888889,fundamentals_clean
1717.TW,2025-12-31,,21.29,4.14,,1.34,3.74,53.08,73.78,162.0,0.0,0.17864999999999998,0.7173666666666667,1.0,0.39186916666666666,fundamentals_clean
1718.TW,2025-12-31,,76.61,53.01,,-0.15,-1.26,91.14,272.68,,0.0,0.5,0.5,0.0,0.3,fundamentals_clean
1720.TW,2025-12-31,,41.22,19.8,,2.47,12.84,21.27,89.51,438.0,0.0,0.5597222222222222,1.0,1.0,0.5959027777777778,fundamentals_clean
1721.TW,2025-12-31,,-19.76,-36.44,,-8.0,-32.88,46.54,101.13,,0.0,0.0,0.8346,0.0,0.20865,fundamentals_clean
1722.TW,2025-12-31,,15.3,3.04,,-0.29,-5.86,33.43,-45.04,439.0,0.0,0.08762222222222223,0.4657,1.0,0.29709277777777776,fundamentals_clean
1723.TW,2025-12-31,,17.58,7.03,,1.53,8.88,31.68,68.22,528.0,0.0,0.2511888888888889,0.8850333333333333,1.0,0.45917444444444444,fundamentals_clean
1725.TW,2025-12-31,,4.14,0.97,,0.45,1.7,24.57,53.08,433.0,0.0,0.03095,0.7756666666666667,1.0,0.35474916666666667,fundamentals_clean
1726.TW,2025-12-31,,28.35,10.44,,1.91,7.94,13.86,94.73,480.0,0.0,0.33337222222222224,1.0,1.0,0.5166802777777778,fundamentals_clean
1727.TW,2025-12-31,,11.85,-0.02,,0.07,0.32,40.39,-5.86,104.0,0.0,0.042055555555555554,0.3961,1.0,0.26374444444444445,fundamentals_clean
1730.TW,2025-12-31,,51.36,13.92,,3.13,11.44,21.08,88.57,568.0,0.0,0.5322,1.0,1.0,0.58627,fundamentals_clean
1731.TW,2025-12-31,,62.5,9.83,,1.63,8.52,33.19,90.32,553.0,0.0,0.4548,0.9681,1.0,0.551205,fundamentals_clean
1732.TW,2025-12-31,,41.94,6.35,,2.68,7.98,25.13,46.7,190.0,0.0,0.3684722222222222,0.7225,1.0,0.45959027777777783,fundamentals_clean
1733.TW,2025-12-31,,30.15,7.64,,2.68,11.41,22.57,57.68,405.0,0.0,0.3587472222222222,0.8140000000000001,1.0,0.4790615277777778,fundamentals_clean
1734.TW,2025-12-31,,43.46,10.91,,2.74,11.59,39.62,90.73,304.0,0.0,0.4676416666666666,0.9038,1.0,0.5396245833333333,fundamentals_clean
1735.TW,2025-12-31,,19.87,1.18,,3.7,10.26,47.47,9.18,348.0,0.0,0.22266111111111114,0.32530000000000003,1.0,0.3092563888888889,fundamentals_clean
1736.TW,2025-12-31,,48.58,9.96,,12.47,8.85,72.6,86.88,325.0,0.0,0.5457111111111111,0.5740000000000001,1.0,0.4844988888888889,fundamentals_clean
1737.TW,2025-12-31,,39.54,10.87,,2.1,17.53,17.53,52.78,409.0,0.0,0.5197138888888889,0.7731666666666667,1.0,0.5251915277777778,fundamentals_clean
1752.TW,2025-12-31,,34.93,12.21,,2.96,14.27,34.88,82.73,448.0,0.0,0.4667527777777778,0.9512,1.0,0.5511634722222223,fundamentals_clean
1760.TW,2025-12-31,,52.35,13.44,,2.49,8.9,39.42,99.78,275.0,0.0,0.49565,0.9057999999999999,1.0,0.5499275,fundamentals_clean
1762.TW,2025-12-31,,-78.82,-143.69,,-4.58,-124.54,28.49,122.22,67.0,0.0,0.0,1.0,1.0,0.4,fundamentals_clean
1773.TW,2025-12-31,,35.33,20.61,,4.75,18.15,33.2,91.1,172.0,0.0,0.601475,0.968,1.0,0.60251625,fundamentals_clean
1776.TW,2025-12-31,,22.5,8.01,,1.49,5.23,36.87,64.85,386.0,0.0,0.24269722222222223,0.80505,1.0,0.4362065277777778,fundamentals_clean
1783.TW,2025-12-31,,73.55,39.84,,5.45,37.27,18.78,87.38,194.0,0.0,0.755625,1.0,1.0,0.66446875,fundamentals_clean
1786.TW,2025-12-31,,75.32,19.86,,3.19,25.13,25.82,68.97,314.0,0.0,0.6986,0.9080833333333334,1.0,0.6215308333333334,fundamentals_clean
1789.TW,2025-12-31,,33.04,0.97,,0.39,4.1,11.24,40.82,155.0,0.0,0.21672777777777777,0.6735,1.0,0.3942297222222222,fundamentals_clean
1795.TW,2025-12-31,,55.31,23.86,,4.72,17.91,77.6,113.49,268.0,0.0,0.712475,0.524,1.0,0.53036625,fundamentals_clean
1802.TW,2025-12-31,,13.67,4.93,,0.73,3.43,44.59,120.53,,0.0,0.14034166666666667,0.8541,0.0,0.26264458333333335,fundamentals_clean
1805.TW,2025-12-31,,21.75,10.56,,1.11,9.64,18.76,96.42,,0.0,0.3191555555555556,1.0,0.0,0.36170444444444444,fundamentals_clean
1806.TW,2025-12-31,,18.88,-3.7,,0.45,3.35,35.58,-246.16,1186.0,0.0,0.1189861111111111,0.44420000000000004,1.0,0.3026951388888889,fundamentals_clean
1808.TW,2025-12-31,,39.07,33.11,,12.97,26.06,77.2,103.85,731.0,0.0,0.7889027777777777,0.528,1.0,0.5581159722222222,fundamentals_clean
1809.TW,2025-12-31,,21.38,1.3,,0.39,2.04,26.74,33.09,100.0,0.0,0.1295,0.6090833333333334,1.0,0.3475958333333333,fundamentals_clean
1810.TW,2025-12-31,,26.07,-1.35,,0.05,0.31,33.05,-76.58,112.0,0.0,0.12093055555555556,0.46950000000000003,1.0,0.3097006944444445,fundamentals_clean
1817.TW,2025-12-31,,38.95,16.29,,2.72,9.27,21.77,125.3,619.0,0.0,0.4673861111111111,1.0,1.0,0.5635851388888888,fundamentals_clean
1903.TW,2025-12-31,,64.83,-21.58,,3.55,503.45,47.67,-4.09,,0.0,0.5,0.3233,0.0,0.25582499999999997,fundamentals_clean
1904.TW,2025-12-31,,20.98,7.22,,2.11,5.58,58.28,98.71,239.0,0.0,0.23072777777777778,0.7172000000000001,1.0,0.4100547222222223,fundamentals_clean
1905.TW,2025-12-31,,4.42,-5.95,,1.73,6.86,54.04,-71.63,,0.0,0.08575,0.2596,0.0,0.0949125,fundamentals_clean
1906.TW,2025-12-31,,12.71,7.26,,0.87,3.02,49.64,188.62,83.0,0.0,0.15318333333333334,0.8036,1.0,0.4045141666666666,fundamentals_clean
1907.TW,2025-12-31,,13.95,-0.02,,0.58,2.84,46.62,-0.41,308.0,0.0,0.08522222222222221,0.3338,1.0,0.2632777777777778,fundamentals_clean
1909.TW,2025-12-31,,12.46,2.83,,0.97,1.64,70.44,137.28,,0.0,0.09024444444444446,0.5956,0.0,0.18048555555555557,fundamentals_clean
2002.TW,2025-12-31,,4.83,0.51,,-0.06,-0.28,51.04,-8088.37,169.0,0.0,0.0051,0.28959999999999997,1.0,0.22418499999999997,fundamentals_clean
2006.TW,2025-12-31,,15.94,11.02,,4.06,10.11,33.72,91.87,620.0,0.0,0.2973527777777778,0.9628,1.0,0.49477347222222223,fundamentals_clean
2007.TW,2025-12-31,,-29.22,-33.95,,-8.73,-37.97,65.78,81.68,,0.0,0.0,0.6422,0.0,0.16055,fundamentals_clean
2008.TW,2025-12-31,,17.77,9.61,,-0.02,-0.18,54.58,550.67,185.0,0.0,0.16704444444444444,0.7542,1.0,0.39701555555555557,fundamentals_clean
2009.TW,2025-12-31,,3.0,0.89,,0.01,0.14,16.44,76.36,125.0,0.0,0.01065,0.9696666666666667,1.0,0.39614416666666663,fundamentals_clean
2010.TW,2025-12-31,,10.75,7.18,,2.86,6.31,45.1,92.88,524.0,0.0,0.18261944444444445,0.849,1.0,0.42616680555555553,fundamentals_clean
2012.TW,2025-12-31,,13.55,2.21,,-0.32,-0.76,60.26,94.98,645.0,0.0,0.0696,0.6974,1.0,0.34870999999999996,fundamentals_clean
2013.TW,2025-12-31,,4.4,2.4,,3.26,3.52,62.05,63.07,458.0,0.0,0.068,0.5384166666666668,1.0,0.3084041666666667,fundamentals_clean
2014.TW,2025-12-31,,-3.67,-6.17,,-2.18,-6.96,54.95,102.82,,0.0,0.0,0.7505,0.0,0.187625,fundamentals_clean
2015.TW,2025-12-31,,11.65,8.48,,2.41,8.29,12.49,84.31,536.0,0.0,0.22536944444444446,1.0,1.0,0.4788793055555556,fundamentals_clean
2017.TW,2025-12-31,,-2.98,-20.04,,-1.67,-17.56,52.89,91.88,,0.0,0.0,0.7711,0.0,0.192775,fundamentals_clean
2020.TW,2025-12-31,,19.71,11.95,,2.79,12.4,50.66,76.01,724.0,0.0,0.3562222222222222,0.7601500000000001,1.0,0.46471527777777777,fundamentals_clean
2022.TW,2025-12-31,,7.21,-1.48,,-0.17,-0.46,33.31,656.72,,0.0,0.012277777777777778,0.9669,0.0,0.24602222222222223,fundamentals_clean
2023.TW,2025-12-31,,7.45,-2.27,,-2.51,-5.55,66.74,35.77,,0.0,0.013611111111111112,0.26401666666666673,0.0,0.07076805555555557,fundamentals_clean
2024.TW,2025-12-31,,8.85,2.74,,0.69,3.14,32.61,87.86,,0.0,0.08803888888888889,0.9739,0.0,0.2742886111111111,fundamentals_clean
2025.TW,2025-12-31,,-19.82,14.5,,2.71,16.41,33.22,88.23,,0.0,0.350125,0.9678,0.0,0.36449375,fundamentals_clean
2027.TW,2025-12-31,,25.55,14.07,,2.09,7.57,42.34,127.52,286.0,0.0,0.3494916666666667,0.8765999999999999,1.0,0.49147208333333336,fundamentals_clean
2028.TW,2025-12-31,,5.49,3.31,,1.24,2.69,43.21,107.89,355.0,0.0,0.06944722222222222,0.8679,1.0,0.3912815277777778,fundamentals_clean
2029.TW,2025-12-31,,11.98,3.76,,0.85,3.0,10.29,92.11,614.0,0.0,0.11387777777777777,1.0,1.0,0.43985722222222223,fundamentals_clean
2030.TW,2025-12-31,,9.99,2.61,,1.26,2.5,57.16,92.89,441.0,0.0,0.08507222222222222,0.7284,1.0,0.3618752777777778,fundamentals_clean
2031.TW,2025-12-31,,12.43,7.38,,1.61,6.03,56.62,98.0,623.0,0.0,0.19045277777777778,0.7338,1.0,0.40010847222222223,fundamentals_clean
2032.TW,2025-12-31,,6.08,2.14,,1.42,3.56,19.03,51.39,296.0,0.0,0.07189999999999999,0.7615833333333333,1.0,0.36556083333333333,fundamentals_clean
2033.TW,2025-12-31,,14.21,5.07,,0.72,4.3,14.45,94.27,127.0,0.0,0.15561666666666668,1.0,1.0,0.45446583333333335,fundamentals_clean
2034.TW,2025-12-31,,5.45,-1.87,,-0.65,-2.39,55.87,43.7,494.0,0.0,0.002500000000000001,0.4388000000000001,1.0,0.260575,fundamentals_clean
2038.TW,2025-12-31,,-0.64,-2.86,,-2.13,-4.02,58.66,67.8,,0.0,0.0,0.6117333333333334,0.0,0.15293333333333334,fundamentals_clean
2049.TW,2025-12-31,,27.05,4.85,,1.23,7.1,30.83,60.35,105.0,0.0,0.25975,0.82795,1.0,0.44789999999999996,fundamentals_clean
2059.TW,2025-12-31,,76.1,69.16,,12.54,71.01,20.12,77.9,96.0,0.0,0.84425,0.9825,1.0,0.6911125,fundamentals_clean
2062.TW,2025-12-31,,11.31,3.65,,0.55,2.56,32.35,127.9,882.0,0.0,0.10355555555555555,0.9764999999999999,1.0,0.43036944444444447,fundamentals_clean
2069.TW,2025-12-31,,10.04,4.07,,2.1,3.68,53.87,125.21,488.0,0.0,0.1147,0.7613000000000001,1.0,0.38047,fundamentals_clean
2072.TW,2025-12-31,,35.24,30.89,,3.79,28.9,19.03,87.96,415.0,0.0,0.668,1.0,1.0,0.6338,fundamentals_clean
2101.TW,2025-12-31,,20.96,4.37,,8.8,64.21,76.66,6.34,185.0,0.0,0.42986666666666673,0.03340000000000004,1.0,0.3088033333333333,fundamentals_clean
2102.TW,2025-12-31,,20.1,-165.35,,40.46,5938.97,21.47,-2.75,,0.0,0.5838888888888889,0.5,0.0,0.3293611111111111,fundamentals_clean
2103.TW,2025-12-31,,10.06,3.77,,1.25,3.21,50.27,73.11,331.0,0.0,0.10593611111111112,0.7398833333333333,1.0,0.37204847222222226,fundamentals_clean
2104.TW,2025-12-31,,-13.28,-23.9,,-3.35,-25.83,48.14,81.26,,0.0,0.0,0.8186,0.0,0.20465,fundamentals_clean
2105.TW,2025-12-31,,22.84,6.78,,0.98,4.11,38.74,103.58,761.0,0.0,0.21828611111111113,0.9126,1.0,0.45455013888888884,fundamentals_clean
2106.TW,2025-12-31,,20.3,1.55,,0.34,0.82,57.01,92.47,588.0,0.0,0.11075,0.7299,1.0,0.3712375,fundamentals_clean
2107.TW,2025-12-31,,29.93,14.22,,0.35,10.79,12.53,76.54,551.0,0.0,0.415575,0.9711666666666667,1.0,0.5382429166666667,fundamentals_clean
2108.TW,2025-12-31,,25.29,9.12,,0.78,5.6,10.23,67.3,391.0,0.0,0.27392222222222223,0.8941666666666667,1.0,0.46941444444444447,fundamentals_clean
2109.TW,2025-09-30,,19.2,6.6,0.27,1.54,7.81,36.9,63.4,887.0,0.0,0.2425138888888889,0.7926666666666666,1.0,0.43304652777777775,fundamentals_clean
2114.TW,2025-12-31,,39.15,30.9,,4.03,29.11,16.66,84.91,569.0,0.0,0.6897222222222222,1.0,1.0,0.6414027777777778,fundamentals_clean
2115.TW,2025-12-31,,18.21,6.19,,0.32,1.41,30.18,117.74,699.0,0.0,0.1529138888888889,0.9982,1.0,0.45306986111111114,fundamentals_clean
2201.TW,2025-12-31,,30.14,11.67,,0.18,0.92,74.41,220.96,206.0,0.0,0.26786666666666664,0.5559000000000001,1.0,0.38272833333333334,fundamentals_clean
2204.TW,2025-12-31,,10.06,2.16,,2.05,10.51,22.74,25.31,650.0,0.0,0.18108611111111111,0.54425,1.0,0.3494426388888889,fundamentals_clean
2206.TW,2025-12-31,,18.31,4.85,,2.16,6.22,56.45,57.93,505.0,0.0,0.20019444444444445,0.5515833333333333,1.0,0.35796388888888886,fundamentals_clean
2207.TW,2025-12-31,,15.51,5.16,,4.08,7.91,76.25,47.07,412.0,0.0,0.2088638888888889,0.26308333333333334,1.0,0.2888731944444445,fundamentals_clean
2208.TW,2025-12-31,,11.98,7.43,,2.9,5.39,84.62,138.81,,0.0,0.18045277777777777,0.5,0.0,0.1881584722222222,fundamentals_clean
2211.TW,2025-12-31,,25.25,19.62,,1.67,13.57,21.54,98.05,505.0,0.0,0.478325,1.0,1.0,0.56741375,fundamentals_clean
2227.TW,2025-12-31,,9.98,-4.74,,2.56,13.6,20.81,-27.99,786.0,0.0,0.19766666666666666,0.5,1.0,0.3441833333333333,fundamentals_clean
2228.TW,2025-12-31,,21.61,6.75,,1.89,8.01,25.34,59.24,1039.0,0.0,0.2599027777777778,0.827,1.0,0.44771597222222226,fundamentals_clean
2231.TW,2025-12-31,,23.65,-15.21,,-4.85,-20.47,59.34,64.0,185.0,0.0,0.1036111111111111,0.5732666666666666,1.0,0.32958055555555554,fundamentals_clean
2233.TW,2025-12-31,,30.63,10.91,,2.55,13.22,40.15,61.99,320.0,0.0,0.4167388888888889,0.7484166666666667,1.0,0.48296277777777774,fundamentals_clean
2236.TW,2025-12-31,,8.48,-4.12,,-10.27,-10.16,71.28,44.63,28.0,0.0,0.019333333333333334,0.29245,1.0,0.22987916666666666,fundamentals_clean
2239.TW,2025-12-31,,11.02,-2.31,,-2.16,-7.34,51.3,27.71,,0.0,0.03344444444444444,0.35125000000000006,0.0,0.09951805555555557,fundamentals_clean
