Ticker SYMBOL,公司名稱,產業類別,產業類別名稱
1314.TW,中國石油化學工業開發(股)公司,3,塑膠工業
1315.TW,達新工業股份有限公司,3,塑膠工業
1316.TW,上曜建設開發股份有限公司,14,建材營造業
1319.TW,東陽實業廠股份有限公司,12,汽車工業
1321.TW,大洋塑膠工業股份有限公司,3,塑膠工業
1323.TW,永裕塑膠工業股份有限公司,3,塑膠工業
1324.TW,地球綜合工業股份有限公司,3,塑膠工業
1325.TW,恒大股份有限公司,3,塑膠工業
1326.TW,台灣化學纖維股份有限公司,3,塑膠工業
1337.TW,亞洲塑膠再生資源控股有限公司,3,塑膠工業
1338.TW,廣華控股有限公司,12,汽車工業
1339.TW,昭輝實業股份有限公司,12,汽車工業
1340.TW,勝悅新材料有限公司,3,塑膠工業
1341.TW,富林塑膠工業(開曼)控股(股)公司,3,塑膠工業
1342.TW,八貫企業股份有限公司,20,其他業
1402.TW,遠東新世紀股份有限公司,4,紡織纖維
1409.TW,新光合成纖維股份有限公司,4,紡織纖維
1410.TW,南洋染整股份有限公司,4,紡織纖維
1413.TW,宏洲纖維工業股份有限公司,4,紡織纖維
1414.TW,東和紡織股份有限公司,4,紡織纖維
1416.TW,廣豐實業股份有限公司,20,其他業
1417.TW,嘉裕股份有限公司,4,紡織纖維
1418.TW,東華龍股份有限公司,4,紡織纖維
1419.TW,新光紡織股份有限公司,4,紡織纖維
1423.TW,利華羊毛工業股份有限公司,4,紡織纖維
1432.TW,大魯閣實業股份有限公司,37,運動休閒
1434.TW,福懋興業股份有限公司,4,紡織纖維
1435.TW,中福國際(股)公司,20,其他業
1436.TW,華友聯開發股份有限公司,14,建材營造業
1437.TW,勤益投資控股股份有限公司,20,其他業
1438.TW,三地開發地產股份有限公司,14,建材營造業
1439.TW,雋揚國際股份有限公司,14,建材營造業
1440.TW,臺南紡織股份有限公司,4,紡織纖維
1441.TW,大東紡織股份有限公司,4,紡織纖維
1442.TW,名軒開發股份有限公司,14,建材營造業
1443.TW,立益物流開發股份有限公司,20,其他業
1444.TW,力麗企業股份有限公司,4,紡織纖維
1445.TW,大宇紡織股份有限公司,4,紡織纖維
1446.TW,宏和精密紡織股份有限公司,4,紡織纖維
1447.TW,力鵬企業股份有限公司,4,紡織纖維
1449.TW,佳和實業股份有限公司,4,紡織纖維
1451.TW,年興紡織股份有限公司,4,紡織纖維
1452.TW,宏益纖維工業股份有限公司,4,紡織纖維
1453.TW,大將開發股份有限公司,14,建材營造業
1454.TW,台灣富綢纖維股份有限公司,4,紡織纖維
1455.TW,集盛實業股份有限公司,4,紡織纖維
1456.TW,怡華實業股份有限公司,14,建材營造業
1457.TW,宜進實業股份有限公司,4,紡織纖維
1459.TW,聯發紡織纖維股份有限公司,4,紡織纖維
1460.TW,宏遠興業股份有限公司,4,紡織纖維
1463.TW,強盛新投資控股股份有限公司,4,紡織纖維
1464.TW,得力實業股份有限公司,4,紡織纖維
1465.TW,偉全實業股份有限公司,4,紡織纖維
1466.TW,聚隆纖維股份有限公司,4,紡織纖維
1467.TW,南緯實業股份有限公司,4,紡織纖維
1468.TW,昶和纖維興業股份有限公司,4,紡織纖維
1470.TW,大統新創股份有限公司,4,紡織纖維
1471.TW,首利實業股份有限公司,28,電子零組件業
1472.TW,三洋實業股份有限公司,14,建材營造業
1473.TW,台南企業股份有限公司,4,紡織纖維
1474.TW,弘裕企業股份有限公司,4,紡織纖維
1475.TW,台灣業旺股份有限公司,4,紡織纖維
1476.TW,儒鴻企業股份有限公司,4,紡織纖維
1477.TW,聚陽實業股份有限公司,4,紡織纖維
1503.TW,士林電機廠股份有限公司,5,電機機械
1504.TW,東元電機股份有限公司,5,電機機械
1506.TW,正道工業股份有限公司,5,電機機械
1512.TW,瑞利企業股份有限公司,12,汽車工業
1513.TW,中興電工機械股份有限公司,5,電機機械
1514.TW,亞力電機股份有限公司,5,電機機械
1515.TW,力山工業股份有限公司,5,電機機械
1516.TW,川飛能源股份有限公司,20,其他業
1517.TW,利奇機械工業股份有限公司,5,電機機械
1519.TW,華城電機股份有限公司,5,電機機械
1521.TW,大億交通工業製造股份有限公司,12,汽車工業
1522.TW,堤維西交通工業股份有限公司,12,汽車工業
1524.TW,耿鼎企業股份有限公司,12,汽車工業
1525.TW,江申工業股份有限公司,12,汽車工業
1526.TW,日馳企業股份有限公司,5,電機機械
1527.TW,鑽全實業股份有限公司,5,電機機械
1528.TW,恩德科技股份有限公司,5,電機機械
1529.TW,樂事綠能科技股份有限公司,5,電機機械
1530.TW,亞崴機電股份有限公司,5,電機機械
1531.TW,高林股份有限公司,5,電機機械
1532.TW,勤美股份有限公司,5,電機機械
1533.TW,車王電子股份有限公司,12,汽車工業
1535.TW,中宇環保工程股份有限公司,5,電機機械
1536.TW,和大工業股份有限公司,12,汽車工業
1537.TW,廣隆光電科技股份有限公司,5,電機機械
1538.TW,正峰工業股份有限公司,5,電機機械
1539.TW,巨庭機械股份有限公司,5,電機機械
1540.TW,喬福機械工業股份有限公司,5,電機機械
1541.TW,錩泰工業股份有限公司,5,電機機械
1558.TW,伸興工業股份有限公司,5,電機機械
1560.TW,中國砂輪企業股份有限公司,5,電機機械
1563.TW,巧新科技工業股份有限公司,12,汽車工業
1568.TW,倉佑實業股份有限公司,12,汽車工業
1582.TW,信錦企業股份有限公司,28,電子零組件業
1583.TW,程泰機械股份有限公司,5,電機機械
1587.TW,吉茂精密股份有限公司,12,汽車工業
1589.TW,永冠能源科技集團有限公司,5,電機機械
1590.TW,亞德客國際集團,5,電機機械
1597.TW,直得科技股份有限公司,5,電機機械
1598.TW,岱宇國際股份有限公司,37,運動休閒
1603.TW,中華電線電纜股份有限公司,6,電器電纜
1604.TW,聲寶股份有限公司,6,電器電纜
1605.TW,華新麗華股份有限公司,6,電器電纜
1608.TW,華榮電線電纜股份有限公司,6,電器電纜
1609.TW,大亞電線電纜股份有限公司,6,電器電纜
1611.TW,中國電器股份有限公司,6,電器電纜
1612.TW,宏泰電工股份有限公司,6,電器電纜
1614.TW,台灣三洋電機股份有限公司,6,電器電纜
1615.TW,大山電線電纜股份有限公司,6,電器電纜
1616.TW,億泰電線電纜股份有限公司,6,電器電纜
1617.TW,榮星電線工業股份有限公司,6,電器電纜
1618.TW,合機電線電纜股份有限公司,6,電器電纜
1623.TW,大東電業廠股份有限公司,6,電器電纜
1626.TW,艾美特(開曼)國際有限公司,6,電器電纜
1702.TW,南僑投資控股股份有限公司,2,食品工業
1707.TW,葡萄王生技股份有限公司,22,生技醫療業
1708.TW,東南實業股份有限公司,21,化學工業
1709.TW,和益化學工業股份有限公司,21,化學工業
1710.TW,東聯化學股份有限公司,21,化學工業
1711.TW,臺灣永光化學工業股份有限公司,21,化學工業
1712.TW,興農股份有限公司,21,化學工業
1713.TW,國泰化工廠股份有限公司,21,化學工業
1714.TW,和桐化學股份有限公司,21,化學工業
1717.TW,長興材料工業股份有限公司,21,化學工業
1718.TW,中國人造纖維股份有限公司,21,化學工業
1720.TW,生達化學製藥股份有限公司,22,生技醫療業
1721.TW,三晃股份有限公司,21,化學工業
1722.TW,台灣肥料股份有限公司,21,化學工業
1723.TW,中鋼碳素化學股份有限公司,21,化學工業
1725.TW,元禎企業股份有限公司,21,化學工業
1726.TW,永記造漆工業股份有限公司,21,化學工業
1727.TW,臺灣中華化學工業股份有限公司,21,化學工業
1730.TW,花仙子企業股份有限公司,21,化學工業
1731.TW,美吾華股份有限公司,22,生技醫療業
1732.TW,毛寶股份有限公司,21,化學工業
1733.TW,五鼎生物技術股份有限公司,22,生技醫療業
1734.TW,杏輝藥品工業股份有限公司,22,生技醫療業
1735.TW,日勝化工股份有限公司,21,化學工業
1736.TW,喬山健康科技股份有限公司,37,運動休閒
1737.TW,臺鹽實業股份有限公司,2,食品工業
1752.TW,南光化學製藥股份有限公司,22,生技醫療業
1760.TW,寶齡富錦生技股份有限公司,22,生技醫療業
1762.TW,中化合成生技股份有限公司,22,生技醫療業
1773.TW,勝一化工股份有限公司,21,化學工業
1776.TW,展宇科技材料股份有限公司,21,化學工業
1783.TW,和康生物科技股份有限公司,22,生技醫療業
1786.TW,科妍生物科技股份有限公司,22,生技醫療業
1789.TW,台灣神隆股份有限公司,22,生技醫療業
1795.TW,美時化學製藥股份有限公司,22,生技醫療業
1802.TW,台灣玻璃工業股份有限公司,8,玻璃陶瓷
1805.TW,寶徠建設股份有限公司,14,建材營造業
1806.TW,冠軍建材股份有限公司,8,玻璃陶瓷
1808.TW,潤隆建設股份有限公司,14,建材營造業
1809.TW,中國製釉股份有限公司,8,玻璃陶瓷
1810.TW,和成欣業股份有限公司,8,玻璃陶瓷
1817.TW,凱撒衛浴股份有限公司,8,玻璃陶瓷
1903.TW,士林紙業股份有限公司,9,造紙工業
1904.TW,正隆股份有限公司,9,造紙工業
1905.TW,中華紙漿股份有限公司,9,造紙工業
1906.TW,寶隆國際股份有限公司,9,造紙工業
1907.TW,永豐餘投資控股股份有限公司,9,造紙工業
1909.TW,榮成紙業股份有限公司,9,造紙工業
2002.TW,中國鋼鐵股份有限公司,10,鋼鐵工業
2006.TW,東和鋼鐵企業股份有限公司,10,鋼鐵工業
2007.TW,燁興企業股份有限公司,10,鋼鐵工業
2008.TW,高興昌鋼鐵股份有限公司,10,鋼鐵工業
2009.TW,第一伸銅科技股份有限公司,10,鋼鐵工業
2010.TW,春源鋼鐵工業股份有限公司,10,鋼鐵工業
2012.TW,春雨工廠股份有限公司,10,鋼鐵工業
2013.TW,中國鋼鐵結構股份有限公司,10,鋼鐵工業
2014.TW,中鴻鋼鐵股份有限公司,10,鋼鐵工業
2015.TW,豐興鋼鐵股份有限公司,10,鋼鐵工業
2017.TW,官田鋼鐵股份有限公司,10,鋼鐵工業
2020.TW,美亞鋼管廠股份有限公司,10,鋼鐵工業
2022.TW,聚亨企業股份有限公司,10,鋼鐵工業
2023.TW,燁輝企業股份有限公司,10,鋼鐵工業
2024.TW,志聯工業股份有限公司,10,鋼鐵工業
2025.TW,千興不銹鋼(股)公司,10,鋼鐵工業
2027.TW,大成不銹鋼工業股份有限公司,10,鋼鐵工業
2028.TW,威致鋼鐵工業股份有限公司,10,鋼鐵工業
2029.TW,盛餘股份有限公司,10,鋼鐵工業
2030.TW,彰源企業股份有限公司,10,鋼鐵工業
2031.TW,新光鋼鐵股份有限公司,10,鋼鐵工業
2032.TW,新鋼工業股份有限公司,10,鋼鐵工業
2033.TW,佳大世界股份有限公司,10,鋼鐵工業
2034.TW,允強實業股份有限公司,10,鋼鐵工業
2038.TW,海光企業股份有限公司,10,鋼鐵工業
2049.TW,上銀科技股份有限公司,5,電機機械
2059.TW,川湖科技股份有限公司,28,電子零組件業
2062.TW,橋椿金屬股份有限公司,38,居家生活
2069.TW,運錩鋼鐵股份有限公司,10,鋼鐵工業
2072.TW,世紀離岸風電設備股份有限公司,35,綠能環保
2101.TW,南港輪胎股份有限公司,11,橡膠工業
2102.TW,泰豐輪胎股份有限公司,11,橡膠工業
2103.TW,台橡股份有限公司,11,橡膠工業
2104.TW,國際中橡投資控股股份有限公司,11,橡膠工業
2105.TW,正新橡膠工業股份有限公司,11,橡膠工業
2106.TW,建大工業股份有限公司,11,橡膠工業
2107.TW,厚生股份有限公司,11,橡膠工業
2108.TW,南帝化學工業股份有限公司,11,橡膠工業
2109.TW,華豐橡膠工業股份有限公司,11,橡膠工業
2114.TW,鑫永銓股份有限公司,11,橡膠工業
2115.TW,六暉控股股份有限公司,12,汽車工業
2201.TW,裕隆汽車製造股份有限公司,12,汽車工業
2204.TW,中華汽車工業股份有限公司,12,汽車工業
2206.TW,三陽工業股份有限公司,12,汽車工業
2207.TW,和泰汽車股份有限公司,12,汽車工業
2208.TW,台灣國際造船股份有限公司,15,航運業
2211.TW,長榮鋼鐵股份有限公司,10,鋼鐵工業
2227.TW,裕隆日產汽車股份有限公司,12,汽車工業
2228.TW,劍麟股份有限公司,12,汽車工業
2231.TW,為升電裝工業股份有限公司,12,汽車工業
2233.TW,宇隆科技股份有限公司,12,汽車工業
2236.TW,百達精密工業股份有限公司,12,汽車工業
2239.TW,開曼英利工業股份有限公司,12,汽車工業
2241.TW,艾姆勒科技股份有限公司,12,汽車工業
2243.TW,宏旭控股股份有限公司,12,汽車工業
2247.TW,汎德永業汽車股份有限公司,12,汽車工業
2248.TW,華勝汽車電子股份有限公司,12,汽車工業
2250.TW,第一化成控股(開曼)股份有限公司,12,汽車工業
2254.TW,巨鎧精密工業股份有限公司,12,汽車工業
2258.TW,鴻華先進科技股份有限公司,12,汽車工業
2301.TW,光寶科技股份有限公司,25,電腦及週邊設備業
2302.TW,麗正國際科技股份有限公司,24,半導體業
2303.TW,聯華電子股份有限公司,24,半導體業
2305.TW,全友電腦股份有限公司,25,電腦及週邊設備業
2308.TW,台達電子工業股份有限公司,28,電子零組件業
2312.TW,金寶電子工業股份有限公司,31,其他電子業
2313.TW,華通電腦股份有限公司,28,電子零組件業
2314.TW,台揚科技股份有限公司,27,通信網路業
2316.TW,楠梓電子股份有限公司,28,電子零組件業
2317.TW,鴻海精密工業股份有限公司,31,其他電子業
2321.TW,東訊股份有限公司,27,通信網路業
2323.TW,中環股份有限公司,26,光電業
2324.TW,仁寶電腦工業股份有限公司,25,電腦及週邊設備業
2327.TW,國巨股份有限公司,28,電子零組件業
2328.TW,廣宇科技股份有限公司,28,電子零組件業
2329.TW,華泰電子股份有限公司,24,半導體業
2330.TW,台灣積體電路製造股份有限公司,24,半導體業
2331.TW,精英電腦股份有限公司,25,電腦及週邊設備業
2332.TW,友訊科技股份有限公司,27,通信網路業
2337.TW,旺宏電子股份有限公司,24,半導體業
2338.TW,台灣光罩股份有限公司,24,半導體業
2340.TW,台亞半導體股份有限公司,24,半導體業
2342.TW,台灣茂矽電子股份有限公司,24,半導體業
2344.TW,華邦電子股份有限公司,24,半導體業
2345.TW,智邦科技股份有限公司,27,通信網路業
2347.TW,聯強國際股份有限公司,29,電子通路業
2348.TW,海悅國際開發股份有限公司,20,其他業
2349.TW,錸德科技股份有限公司,26,光電業
2351.TW,順德工業股份有限公司,24,半導體業
2352.TW,佳世達科技股份有限公司,25,電腦及週邊設備業
2353.TW,宏碁股份有限公司,25,電腦及週邊設備業
2354.TW,鴻準精密工業股份有限公司,31,其他電子業
2355.TW,敬鵬工業股份有限公司,28,電子零組件業
2356.TW,英業達股份有限公司,25,電腦及週邊設備業
2357.TW,華碩電腦股份有限公司,25,電腦及週邊設備業
2359.TW,所羅門股份有限公司,31,其他電子業
2360.TW,致茂電子股份有限公司,31,其他電子業
2362.TW,藍天電腦股份有限公司,25,電腦及週邊設備業
2363.TW,矽統科技股份有限公司,24,半導體業
2364.TW,倫飛電腦實業股份有限公司,25,電腦及週邊設備業
2365.TW,昆盈企業股份有限公司,25,電腦及週邊設備業
2367.TW,燿華電子股份有限公司,28,電子零組件業
2368.TW,金像電子(股)公司,28,電子零組件業
2369.TW,菱生精密工業股份有限公司,24,半導體業
2371.TW,大同股份有限公司,5,電機機械
2373.TW,震旦行股份有限公司,31,其他電子業
2374.TW,佳能企業股份有限公司,26,光電業
2375.TW,凱美電機股份有限公司,28,電子零組件業
2376.TW,技嘉科技股份有限公司,25,電腦及週邊設備業
2377.TW,微星科技股份有限公司,25,電腦及週邊設備業
2379.TW,瑞昱半導體股份有限公司,24,半導體業
2380.TW,虹光精密工業股份有限公司,25,電腦及週邊設備業
2382.TW,廣達電腦股份有限公司,25,電腦及週邊設備業
2383.TW,台光電子材料股份有限公司,28,電子零組件業
2385.TW,群光電子股份有限公司,28,電子零組件業
2387.TW,精元電腦股份有限公司,25,電腦及週邊設備業
2388.TW,威盛電子股份有限公司,24,半導體業
2390.TW,云辰電子開發股份有限公司,31,其他電子業
2392.TW,正崴精密工業股份有限公司,28,電子零組件業
2393.TW,億光電子工業股份有限公司,26,光電業
2395.TW,研華股份有限公司,25,電腦及週邊設備業
2397.TW,友通資訊股份有限公司,25,電腦及週邊設備業
2399.TW,映泰股份有限公司,25,電腦及週邊設備業
2401.TW,凌陽科技股份有限公司,24,半導體業
2402.TW,毅嘉科技股份有限公司,28,電子零組件業
2404.TW,漢唐集成股份有限公司,31,其他電子業
2405.TW,輔信科技股份有限公司,25,電腦及週邊設備業
2406.TW,國碩科技工業股份有限公司,26,光電業
2408.TW,南亞科技股份有限公司,24,半導體業
2409.TW,友達光電股份有限公司,26,光電業
2412.TW,中華電信股份有限公司,27,通信網路業
2413.TW,環隆科技股份有限公司,28,電子零組件業
2414.TW,精技電腦股份有限公司,29,電子通路業
2415.TW,錩新科技股份有限公司,28,電子零組件業
2417.TW,圓剛科技股份有限公司,25,電腦及週邊設備業
2419.TW,仲琦科技股份有限公司,27,通信網路業
2420.TW,新巨企業股份有限公司,28,電子零組件業
2421.TW,建準電機工業股份有限公司,28,電子零組件業
2423.TW,固緯電子實業股份有限公司,31,其他電子業
2424.TW,隴華電子股份有限公司,27,通信網路業
2425.TW,承啟科技股份有限公司,25,電腦及週邊設備業
2426.TW,鼎元光電科技股份有限公司,26,光電業
2427.TW,三商電腦股份有限公司,30,資訊服務業
2428.TW,興勤電子工業股份有限公司,28,電子零組件業
2429.TW,銘旺科技股份有限公司,26,光電業
2430.TW,燦坤實業股份有限公司,29,電子通路業
2431.TW,聯昌電子企業股份有限公司,28,電子零組件業
2432.TW,倚天酷碁股份有限公司,25,電腦及週邊設備業
2433.TW,互盛股份有限公司,31,其他電子業
2434.TW,統懋半導體股份有限公司,24,半導體業
2436.TW,偉詮電子股份有限公司,24,半導體業
2438.TW,翔耀實業股份有限公司,26,光電業
2439.TW,美律實業股份有限公司,27,通信網路業
2440.TW,太空梭高傳真資訊科技(股)公司,28,電子零組件業
2441.TW,超豐電子股份有限公司,24,半導體業
2442.TW,新美齊股份有限公司,14,建材營造業
2444.TW,兆勁科技股份有限公司,27,通信網路業
2449.TW,京元電子股份有限公司,24,半導體業
2450.TW,神腦國際企業股份有限公司,27,通信網路業
2451.TW,創見資訊股份有限公司,24,半導體業
2453.TW,凌群電腦股份有限公司,30,資訊服務業
2454.TW,聯發科技股份有限公司,24,半導體業
2455.TW,全新光電科技股份有限公司,27,通信網路業
2457.TW,飛宏科技股份有限公司,28,電子零組件業
2458.TW,義隆電子股份有限公司,24,半導體業
2459.TW,敦吉科技股份有限公司,31,其他電子業
2460.TW,建通精密工業股份有限公司,28,電子零組件業
2461.TW,光群雷射科技股份有限公司,31,其他電子業
2462.TW,台灣良得電子股份有限公司,28,電子零組件業
2464.TW,盟立自動化股份有限公司,31,其他電子業
2465.TW,麗臺科技股份有限公司,25,電腦及週邊設備業
2466.TW,冠西電子企業股份有限公司,26,光電業
2467.TW,志聖工業股份有限公司,28,電子零組件業
2468.TW,華經資訊企業股份有限公司,30,資訊服務業
2471.TW,資通電腦股份有限公司,30,資訊服務業
2472.TW,立隆電子工業股份有限公司,28,電子零組件業
2474.TW,可成科技股份有限公司,31,其他電子業
2476.TW,鉅祥企業股份有限公司,28,電子零組件業
2477.TW,美隆工業股份有限公司,31,其他電子業
2478.TW,大毅科技股份有限公司,28,電子零組件業
2480.TW,敦陽科技股份有限公司,30,資訊服務業
2481.TW,強茂股份有限公司,24,半導體業
2482.TW,連宇股份有限公司,31,其他電子業
2483.TW,百容電子股份有限公司,28,電子零組件業
2484.TW,希華晶體科技股份有限公司,28,電子零組件業
2485.TW,兆赫電子股份有限公司,27,通信網路業
2486.TW,一詮精密工業股份有限公司,26,光電業
2488.TW,漢平電子工業股份有限公司,31,其他電子業
2489.TW,瑞軒科技股份有限公司,26,光電業
2491.TW,吉祥全球實業股份有限公司,26,光電業
2492.TW,華新科技股份有限公司,28,電子零組件業
2493.TW,揚博科技股份有限公司,28,電子零組件業
2495.TW,普安科技股份有限公司,25,電腦及週邊設備業
2496.TW,卓越成功股份有限公司,20,其他業
2497.TW,怡利電子工業股份有限公司,12,汽車工業
2498.TW,宏達國際電子股份有限公司,27,通信網路業
2501.TW,國泰建設股份有限公司,14,建材營造業
2504.TW,國產建材實業股份有限公司,14,建材營造業
2505.TW,國揚實業股份有限公司,14,建材營造業
2506.TW,太平洋建設股份有限公司,14,建材營造業
2509.TW,全坤建設開發股份有限公司,14,建材營造業
2511.TW,太子建設開發股份有限公司,14,建材營造業
2514.TW,龍邦國際興業股份有限公司,20,其他業
2515.TW,中華工程股份有限公司,14,建材營造業
2516.TW,新亞建設開發股份有限公司,14,建材營造業
2520.TW,冠德建設股份有限公司,14,建材營造業
2524.TW,京城建設股份有限公司,14,建材營造業
2527.TW,宏璟建設股份有限公司,14,建材營造業
2528.TW,皇普建設股份有限公司,14,建材營造業
2530.TW,大華建設股份有限公司,14,建材營造業
2534.TW,宏盛建設股份有限公司,14,建材營造業
2535.TW,達欣工程股份有限公司,14,建材營造業
2536.TW,宏普建設股份有限公司,14,建材營造業
2537.TW,聯上開發股份有限公司,14,建材營造業
2538.TW,基泰建設股份有限公司,14,建材營造業
2539.TW,櫻花建設股份有限公司,14,建材營造業
2540.TW,愛山林建設開發股份有限公司,14,建材營造業
2542.TW,興富發建設股份有限公司,14,建材營造業
2543.TW,皇昌營造股份有限公司,14,建材營造業
2545.TW,皇翔建設股份有限公司,14,建材營造業
2546.TW,根基營造股份有限公司,14,建材營造業
2547.TW,日勝生活科技股份有限公司,14,建材營造業
2548.TW,華固建設股份有限公司,14,建材營造業
2597.TW,潤弘精密工程事業股份有限公司,14,建材營造業
2601.TW,益航股份有限公司,18,貿易百貨業
2603.TW,長榮海運股份有限公司,15,航運業
2605.TW,新興航運股份有限公司,15,航運業
2606.TW,裕民航運股份有限公司,15,航運業
2607.TW,長榮國際儲運股份有限公司,15,航運業
2608.TW,嘉里大榮物流股份有限公司,15,航運業
2609.TW,陽明海運股份有限公司,15,航運業
2610.TW,中華航空股份有限公司,15,航運業
2611.TW,志信國際股份有限公司,15,航運業
2612.TW,中國航運股份有限公司,15,航運業
2613.TW,中國貨櫃運輸股份有限公司,15,航運業
2614.TW,東森國際股份有限公司,20,其他業
2615.TW,萬海航運股份有限公司,15,航運業
2616.TW,山隆通運股份有限公司,23,油電燃氣業
2617.TW,台灣航業股份有限公司,15,航運業
2618.TW,長榮航空股份有限公司,15,航運業
2630.TW,亞洲航空股份有限公司,15,航運業
2633.TW,台灣高速鐵路股份有限公司,15,航運業
2634.TW,漢翔航空工業股份有限公司,15,航運業
2636.TW,台驊國際控股股份有限公司,15,航運業
2637.TW,慧洋海運股份有限公司,15,航運業
2642.TW,台灣宅配通股份有限公司,15,航運業
2645.TW,長榮航太科技股份有限公司,15,航運業
2646.TW,星宇航空股份有限公司,15,航運業
2701.TW,萬華企業股份有限公司,16,觀光餐旅
2702.TW,華園飯店股份有限公司,16,觀光餐旅
2704.TW,國賓大飯店股份有限公司,16,觀光餐旅
2705.TW,六福開發股份有限公司,16,觀光餐旅
2706.TW,第一華僑大飯店股份有限公司,16,觀光餐旅
2707.TW,晶華國際酒店股份有限公司,16,觀光餐旅
2712.TW,遠雄悅來大飯店股份有限公司,16,觀光餐旅
2722.TW,夏都國際開發股份有限公司,16,觀光餐旅
2723.TW,開曼美食達人股份有限公司,16,觀光餐旅
2727.TW,王品餐飲股份有限公司,16,觀光餐旅
2731.TW,雄獅旅行社股份有限公司,16,觀光餐旅
2739.TW,寒舍餐旅管理顧問股份有限公司,16,觀光餐旅
2748.TW,雲品國際酒店股份有限公司,16,觀光餐旅
2753.TW,八方雲集國際股份有限公司,16,觀光餐旅
2762.TW,世界健身股份有限公司,37,運動休閒
2801.TW,彰化商業銀行股份有限公司,17,金融保險業
2812.TW,台中商業銀行股份有限公司,17,金融保險業
2816.TW,旺旺友聯產物保險股份有限公司,17,金融保險業
2820.TW,中華票券金融股份有限公司,17,金融保險業
2832.TW,台灣產物保險股份有限公司,17,金融保險業
2834.TW,臺灣中小企業銀行股份有限公司,17,金融保險業
2836.TW,高雄銀行股份有限公司,17,金融保險業
2838.TW,聯邦商業銀行股份有限公司,17,金融保險業
2845.TW,遠東國際商業銀行股份有限公司,17,金融保險業
2849.TW,安泰商業銀行股份有限公司,17,金融保險業
2850.TW,新光產物保險股份有限公司,17,金融保險業
2851.TW,中央再保險股份有限公司,17,金融保險業
2852.TW,第一產物保險股份有限公司,17,金融保險業
2855.TW,統一綜合證券股份有限公司,17,金融保險業
2867.TW,三商美邦人壽保險股份有限公司,17,金融保險業
2880.TW,華南金融控股股份有限公司,17,金融保險業
2881.TW,富邦金融控股股份有限公司,17,金融保險業
2882.TW,國泰金融控股股份有限公司,17,金融保險業
2883.TW,凱基金融控股股份有限公司,17,金融保險業
2884.TW,玉山金融控股股份有限公司,17,金融保險業
2885.TW,元大金融控股股份有限公司,17,金融保險業
2886.TW,兆豐金融控股股份有限公司,17,金融保險業
2887.TW,台新新光金融控股股份有限公司,17,金融保險業
2889.TW,國票金融控股股份有限公司,17,金融保險業
2890.TW,永豐金融控股股份有限公司,17,金融保險業
2891.TW,中國信託金融控股股份有限公司,17,金融保險業
2892.TW,第一金融控股股份有限公司,17,金融保險業
2897.TW,王道商業銀行股份有限公司,17,金融保險業
2901.TW,欣欣大眾市場股份有限公司,18,貿易百貨業
2903.TW,遠東百貨股份有限公司,18,貿易百貨業
2904.TW,匯僑股份有限公司,20,其他業
2905.TW,三商投資控股股份有限公司,18,貿易百貨業
2906.TW,高林實業股份有限公司,18,貿易百貨業
2908.TW,特力股份有限公司,18,貿易百貨業
2910.TW,統領百貨股份有限公司,18,貿易百貨業
2911.TW,麗嬰房股份有限公司,18,貿易百貨業
2912.TW,統一超商股份有限公司,18,貿易百貨業
2913.TW,台灣農林股份有限公司,18,貿易百貨業
2915.TW,潤泰全球股份有限公司,18,貿易百貨業
