Ticker SYMBOL,公司名稱,產業類別,產業類別名稱,資料年月日,單月營收年增率(%)
6142.TW,友勁科技股份有限公司,27,通信網路業,2026-03-01,2.75
6152.TW,百一電子股份有限公司,27,通信網路業,2026-03-01,-21.94
6153.TW,嘉聯益科技股份有限公司,28,電子零組件業,2026-03-01,1.2
6155.TW,鈞寶電子工業股份有限公司,28,電子零組件業,2026-03-01,6.54
6164.TW,華興電子工業股份有限公司,26,光電業,2026-03-01,-26.99
6165.TW,浪凡網路科技股份有限公司,36,數位雲端,2026-03-01,2.95
6166.TW,凌華科技股份有限公司,25,電腦及週邊設備業,2026-03-01,28.76
6168.TW,宏齊科技股份有限公司,26,光電業,2026-03-01,-0.94
6176.TW,瑞儀光電股份有限公司,26,光電業,2026-03-01,-3.75
6177.TW,達麗建設事業股份有限公司,14,建材營造業,2026-03-01,154.38
6183.TW,關貿網路股份有限公司,30,資訊服務業,2026-03-01,14.28
6184.TW,大豐有線電視股份有限公司,20,其他業,2026-03-01,1.21
6189.TW,豐藝電子股份有限公司,29,電子通路業,2026-03-01,7.38
6191.TW,精成科技股份有限公司,28,電子零組件業,2026-03-01,78.22
6192.TW,巨路國際股份有限公司,31,其他電子業,2026-03-01,-0.6
6196.TW,帆宣系統科技股份有限公司,31,其他電子業,2026-03-01,17.51
6197.TW,佳必琪國際股份有限公司,28,電子零組件業,2026-03-01,12.34
6201.TW,亞弘電科技股份有限公司,31,其他電子業,2026-03-01,6.29
6202.TW,盛群半導體股份有限公司,24,半導體業,2026-03-01,19.86
6205.TW,詮欣股份有限公司,28,電子零組件業,2026-03-01,-16.67
6206.TW,飛捷科技股份有限公司,25,電腦及週邊設備業,2026-03-01,18.2
6209.TW,今國光學工業股份有限公司,26,光電業,2026-03-01,75.59
6213.TW,聯茂電子股份有限公司,28,電子零組件業,2026-03-01,13.8
6214.TW,精誠資訊股份有限公司,30,資訊服務業,2026-03-01,31.49
6215.TW,和椿科技股份有限公司,31,其他電子業,2026-03-01,48.55
6216.TW,居易科技股份有限公司,27,通信網路業,2026-03-01,-35.75
6224.TW,聚鼎科技股份有限公司,28,電子零組件業,2026-03-01,1.85
6225.TW,天瀚科技股份有限公司,26,光電業,2026-03-01,-30.26
6226.TW,光鼎電子股份有限公司,26,光電業,2026-03-01,-0.8
6230.TW,尼得科超眾科技股份有限公司,25,電腦及週邊設備業,2026-03-01,12.11
6235.TW,華孚科技股份有限公司,25,電腦及週邊設備業,2026-03-01,-6.82
6239.TW,力成科技股份有限公司,24,半導體業,2026-03-01,35.15
6243.TW,迅杰科技股份有限公司,24,半導體業,2026-03-01,-48.14
6257.TW,矽格股份有限公司,24,半導體業,2026-03-01,16.75
6269.TW,台郡科技股份有限公司,28,電子零組件業,2026-03-01,8.56
6271.TW,同欣電子工業股份有限公司,24,半導體業,2026-03-01,-4.62
6272.TW,驊陞科技股份有限公司,28,電子零組件業,2026-03-01,-29.71
6277.TW,宏正自動科技股份有限公司,25,電腦及週邊設備業,2026-03-01,-0.33
6278.TW,台灣表面黏著科技股份有限公司,26,光電業,2026-03-01,-2.63
6281.TW,全國電子股份有限公司,29,電子通路業,2026-03-01,-1.45
6282.TW,康舒科技股份有限公司,28,電子零組件業,2026-03-01,18.03
6283.TW,淳安電子股份有限公司,31,其他電子業,2026-03-01,31.64
6285.TW,啟碁科技股份有限公司,27,通信網路業,2026-03-01,3.8
6405.TW,悅城科技股份有限公司,26,光電業,2026-03-01,-76.0
6409.TW,旭隼科技股份有限公司,31,其他電子業,2026-03-01,-21.96
6412.TW,群光電能科技股份有限公司,28,電子零組件業,2026-03-01,-5.19
6414.TW,樺漢科技股份有限公司,25,電腦及週邊設備業,2026-03-01,19.23
6415.TW,矽力杰股份有限公司,24,半導體業,2026-03-01,12.03
6416.TW,瑞祺電通股份有限公司,27,通信網路業,2026-03-01,7.87
6426.TW,統新光訊股份有限公司,27,通信網路業,2026-03-01,70.04
6431.TW,光麗生技控股股份有限公司,22,生技醫療業,2026-03-01,-32.14
6438.TW,迅得機械股份有限公司,31,其他電子業,2026-03-01,15.66
6442.TW,光紅建聖股份有限公司,27,通信網路業,2026-03-01,75.56
6443.TW,元晶太陽能科技股份有限公司,26,光電業,2026-03-01,-63.69
6446.TW,藥華醫藥股份有限公司,22,生技醫療業,2026-03-01,64.35
6449.TW,鈺邦科技股份有限公司,28,電子零組件業,2026-03-01,15.0
6451.TW,訊芯科技控股股份有限公司,24,半導體業,2026-03-01,-25.39
6456.TW,GIS Holding Limited,26,光電業,2026-03-01,-15.22
6464.TW,台灣數位光訊科技股份有限公司,20,其他業,2026-03-01,-7.88
6472.TW,保瑞藥業股份有限公司,22,生技醫療業,2026-03-01,6.28
6477.TW,安集科技股份有限公司,26,光電業,2026-03-01,64.63
6491.TW,晶碩光學股份有限公司,22,生技醫療業,2026-03-01,18.19
6504.TW,南六企業股份有限公司,20,其他業,2026-03-01,9.39
6505.TW,台塑石化股份有限公司,23,油電燃氣業,2026-03-01,7.8
6515.TW,穎崴科技股份有限公司,24,半導體業,2026-03-01,69.25
6525.TW,捷敏股份有限公司,24,半導體業,2026-03-01,11.93
6526.TW,達發科技股份有限公司,24,半導體業,2026-03-01,5.7
6531.TW,愛普科技股份有限公司,24,半導體業,2026-03-01,112.62
6533.TW,晶心科技股份有限公司,24,半導體業,2026-03-01,39.51
6534.TW,正瀚生技股份有限公司,22,生技醫療業,2026-03-01,2.46
6541.TW,泰福生技股份有限公司,22,生技醫療業,2026-03-01,134.69
6550.TW,北極星藥業集團股份有限公司,22,生技醫療業,2026-03-01,-59.74
6552.TW,易華電子股份有限公司,24,半導體業,2026-03-01,-25.28
6558.TW,興能高科技股份有限公司,31,其他電子業,2026-03-01,19.81
6573.TW,虹揚發展科技股份有限公司,24,半導體業,2026-03-01,-21.76
6579.TW,研揚科技股份有限公司,25,電腦及週邊設備業,2026-03-01,16.17
6581.TW,台灣鋼聯股份有限公司,35,綠能環保,2026-03-01,-29.9
6582.TW,申豐特用應材股份有限公司,11,橡膠工業,2026-03-01,-68.55
6585.TW,鼎基先進材料股份有限公司,20,其他業,2026-03-01,-12.74
6589.TW,台康生技股份有限公司,22,生技醫療業,2026-03-01,28.22
6591.TW,動力科技股份有限公司,25,電腦及週邊設備業,2026-03-01,-44.33
6592.TW,和潤企業股份有限公司,20,其他業,2026-03-01,-4.66
6598.TW,Applied BioCode Corporation,22,生技醫療業,2026-03-01,72.55
6605.TW,帝寶工業股份有限公司,12,汽車工業,2026-03-01,-14.31
6606.TW,建德工業股份有限公司,5,電機機械,2026-03-01,23.08
6614.TW,資拓宏宇國際股份有限公司,36,數位雲端,2026-03-01,15.51
6625.TW,必應創造股份有限公司,20,其他業,2026-03-01,133.6
6641.TW,基士德科技股份有限公司,35,綠能環保,2026-03-01,-11.62
6645.TW,金萬林企業股份有限公司,22,生技醫療業,2026-03-01,14.88
6655.TW,科定企業股份有限公司,20,其他業,2026-03-01,30.73
6657.TW,華安醫學股份有限公司,22,生技醫療業,2026-03-01,50.21
6658.TW,聯策科技股份有限公司,31,其他電子業,2026-03-01,60.87
6666.TW,羅麗芬控股股份有限公司,22,生技醫療業,2026-03-01,-14.83
6668.TW,中揚光電股份有限公司,26,光電業,2026-03-01,8.49
6669.TW,緯穎科技服務股份有限公司,25,電腦及週邊設備業,2026-03-01,13.87
6670.TW,復盛應用科技股份有限公司,37,運動休閒,2026-03-01,-1.75
6671.TW,三能集團控股股份有限公司,38,居家生活,2026-03-01,-31.71
6672.TW,騰輝電子國際集團股份有限公司,28,電子零組件業,2026-03-01,32.73
6674.TW,鋐寶科技股份有限公司,27,通信網路業,2026-03-01,55.41
6689.TW,伊雲谷數位科技股份有限公司,36,數位雲端,2026-03-01,-8.19
6691.TW,洋基工程股份有限公司,31,其他電子業,2026-03-01,112.73
6695.TW,芯鼎科技股份有限公司,24,半導體業,2026-03-01,-4.75
6698.TW,旭暉應用材料股份有限公司,31,其他電子業,2026-03-01,-31.02
6706.TW,惠特科技股份有限公司,26,光電業,2026-03-01,-59.57
6715.TW,嘉基科技股份有限公司,28,電子零組件業,2026-03-01,9.55
6719.TW,力智電子股份有限公司,24,半導體業,2026-03-01,-10.35
6722.TW,輝創電子股份有限公司,31,其他電子業,2026-03-01,3.52
6742.TW,澤米科技股份有限公司,26,光電業,2026-03-01,-53.51
6743.TW,安普新股份有限公司,31,其他電子業,2026-03-01,-6.43
