Ticker SYMBOL,公司名稱,產業類別,資料年月日,單月營收年增率(%)
1563.TW,巧新科技工業股份有限公司,12,2026-02-01,-12.4
1568.TW,倉佑實業股份有限公司,12,2026-02-01,-28.38
1582.TW,信錦企業股份有限公司,28,2026-02-01,-22.88
1583.TW,程泰機械股份有限公司,5,2026-02-01,-23.83
1587.TW,吉茂精密股份有限公司,12,2026-02-01,42.77
1589.TW,永冠能源科技集團有限公司,5,2026-02-01,-17.22
1590.TW,亞德客國際集團,5,2026-02-01,-8.42
1597.TW,直得科技股份有限公司,5,2026-02-01,18.81
1598.TW,岱宇國際股份有限公司,37,2026-02-01,-15.71
1603.TW,中華電線電纜股份有限公司,6,2026-02-01,-36.93
1604.TW,聲寶股份有限公司,6,2026-02-01,-5.74
1605.TW,華新麗華股份有限公司,6,2026-02-01,-23.1
1608.TW,華榮電線電纜股份有限公司,6,2026-02-01,24.68
1609.TW,大亞電線電纜股份有限公司,6,2026-02-01,-5.73
1611.TW,中國電器股份有限公司,6,2026-02-01,-27.79
1612.TW,宏泰電工股份有限公司,6,2026-02-01,-20.53
1614.TW,台灣三洋電機股份有限公司,6,2026-02-01,-6.17
1615.TW,大山電線電纜股份有限公司,6,2026-02-01,-60.7
1616.TW,億泰電線電纜股份有限公司,6,2026-02-01,-22.26
1617.TW,榮星電線工業股份有限公司,6,2026-02-01,-29.58
1618.TW,合機電線電纜股份有限公司,6,2026-02-01,-74.19
1623.TW,大東電業廠股份有限公司,6,2026-02-01,14.37
1626.TW,艾美特(開曼)國際有限公司,6,2026-02-01,-29.42
1702.TW,南僑投資控股股份有限公司,2,2026-02-01,0.75
1707.TW,葡萄王生技股份有限公司,22,2026-02-01,-1.35
1708.TW,東南實業股份有限公司,21,2026-02-01,-18.95
1709.TW,和益化學工業股份有限公司,21,2026-02-01,-20.66
1710.TW,東聯化學股份有限公司,21,2026-02-01,-38.75
1711.TW,臺灣永光化學工業股份有限公司,21,2026-02-01,-25.0
1712.TW,興農股份有限公司,21,2026-02-01,-9.0
1713.TW,國泰化工廠股份有限公司,21,2026-02-01,-7.98
1714.TW,和桐化學股份有限公司,21,2026-02-01,14.87
1717.TW,長興材料工業股份有限公司,21,2026-02-01,-19.29
1718.TW,中國人造纖維股份有限公司,21,2026-02-01,-0.06
1720.TW,生達化學製藥股份有限公司,22,2026-02-01,-16.44
1721.TW,三晃股份有限公司,21,2026-02-01,-40.31
1722.TW,台灣肥料股份有限公司,21,2026-02-01,-6.35
1723.TW,中鋼碳素化學股份有限公司,21,2026-02-01,-34.14
1725.TW,元禎企業股份有限公司,21,2026-02-01,-23.81
1726.TW,永記造漆工業股份有限公司,21,2026-02-01,-18.41
1727.TW,臺灣中華化學工業股份有限公司,21,2026-02-01,-0.01
1730.TW,花仙子企業股份有限公司,21,2026-02-01,0.01
1731.TW,美吾華股份有限公司,22,2026-02-01,3.67
1732.TW,毛寶股份有限公司,21,2026-02-01,-9.33
1733.TW,五鼎生物技術股份有限公司,22,2026-02-01,-12.03
1734.TW,杏輝藥品工業股份有限公司,22,2026-02-01,-17.36
1735.TW,日勝化工股份有限公司,21,2026-02-01,-44.45
1736.TW,喬山健康科技股份有限公司,37,2026-02-01,4.63
1737.TW,臺鹽實業股份有限公司,2,2026-02-01,-11.22
1752.TW,南光化學製藥股份有限公司,22,2026-02-01,-20.04
1760.TW,寶齡富錦生技股份有限公司,22,2026-02-01,-4.46
1762.TW,中化合成生技股份有限公司,22,2026-02-01,161.27
1773.TW,勝一化工股份有限公司,21,2026-02-01,-9.9
1776.TW,展宇科技材料股份有限公司,21,2026-02-01,-38.83
1783.TW,和康生物科技股份有限公司,22,2026-02-01,20.91
1786.TW,科妍生物科技股份有限公司,22,2026-02-01,0.07
1789.TW,台灣神隆股份有限公司,22,2026-02-01,26.34
1795.TW,美時化學製藥股份有限公司,22,2026-02-01,131.52
1802.TW,台灣玻璃工業股份有限公司,8,2026-02-01,-17.59
1805.TW,寶徠建設股份有限公司,14,2026-02-01,-99.73
1806.TW,冠軍建材股份有限公司,8,2026-02-01,-57.7
1808.TW,潤隆建設股份有限公司,14,2026-02-01,117765.91
1809.TW,中國製釉股份有限公司,8,2026-02-01,1.09
1810.TW,和成欣業股份有限公司,8,2026-02-01,-23.45
1817.TW,凱撒衛浴股份有限公司,8,2026-02-01,-19.16
1903.TW,士林紙業股份有限公司,9,2026-02-01,-16.11
1904.TW,正隆股份有限公司,9,2026-02-01,-24.6
1905.TW,中華紙漿股份有限公司,9,2026-02-01,-35.56
