日期,Ticker SYMBOL,外資買賣超,投信買賣超,自營商買賣超,三大法人合計,資料來源
2026-04-08,2891.TW,14406339.0,2540067.0,64027.0,17010433.0,FinMind
2026-04-09,2891.TW,-19146548.0,-510742.0,-1181011.0,-20838301.0,FinMind
2026-04-10,2891.TW,-21138307.0,720997.0,-229452.0,-20646762.0,FinMind
2026-04-13,2891.TW,-6853143.0,-6285921.0,112308.0,-13026756.0,FinMind
2026-04-07,3711.TW,-4190263.0,-440595.0,173192.0,-4457666.0,FinMind
2026-04-08,3711.TW,8881440.0,-329257.0,634225.0,9186408.0,FinMind
2026-04-09,3711.TW,2799402.0,-234745.0,-231745.0,2332912.0,FinMind
2026-04-10,3711.TW,-1806129.0,-588575.0,522823.0,-1871881.0,FinMind
2026-04-13,3711.TW,-572069.0,-201235.0,-68280.0,-841584.0,FinMind
2026-04-07,6505.TW,7748020.0,-29163.0,219079.0,7937936.0,FinMind
2026-04-08,6505.TW,-6289138.0,-63464.0,765681.0,-5586921.0,FinMind
2026-04-09,6505.TW,-4260243.0,-1302000.0,-42455.0,-5604698.0,FinMind
2026-04-10,6505.TW,527044.0,915000.0,18394.0,1460438.0,FinMind
2026-04-13,6505.TW,6852755.0,-551845.0,202822.0,6503732.0,FinMind
