Ticker,Direction,Regime,Structure,AI_Proba,Hist_WinRate,EV,Kelly_Pos,Score,Risk,Health
2303.TW,做空(Short),趨勢空頭,空方進場,0.5631,0.47,-0.06,0.0189,0.5259,樣本數不足 (0/10)，熱身中,KEEP
3708.TW,做空(Short),區間盤整,空方進場,0.5631,0.38,-0.24,0.0189,0.4899,樣本數不足 (0/10)，熱身中,KEEP
1717.TW,做多(Long),區間盤整,多方進場,0.5475,0.56,0.12,0.0188,0.5525,樣本數不足 (0/10)，熱身中,KEEP
3043.TW,做空(Short),趨勢空頭,空方進場,0.5625,0.44,-0.12,0.0187,0.5135,樣本數不足 (0/10)，熱身中,KEEP
6412.TW,做空(Short),趨勢空頭,空方進場,0.5624,0.44,-0.12,0.0187,0.5135,樣本數不足 (0/10)，熱身中,KEEP
1721.TW,做空(Short),區間盤整,空方進場,0.5623,0.41,-0.18,0.0187,0.5014,樣本數不足 (0/10)，熱身中,KEEP
3447.TW,做空(Short),區間盤整,空方進場,0.5622,0.41,-0.18,0.0187,0.5013,樣本數不足 (0/10)，熱身中,KEEP
2392.TW,做空(Short),區間盤整,空方進場,0.5619,0.41,-0.18,0.0186,0.5011,樣本數不足 (0/10)，熱身中,KEEP
6944.TW,做空(Short),趨勢空頭,空方進場,0.5619,0.38,-0.24,0.0186,0.4892,樣本數不足 (0/10)，熱身中,KEEP
2488.TW,做多(Long),區間盤整,多方進場,0.5468,0.56,0.12,0.0186,0.5521,樣本數不足 (0/10)，熱身中,KEEP
8454.TW,做多(Long),區間盤整,多方進場,0.5468,0.56,0.12,0.0185,0.5521,樣本數不足 (0/10)，熱身中,KEEP
3024.TW,做多(Long),區間盤整,多方進場,0.5466,0.56,0.12,0.0185,0.552,樣本數不足 (0/10)，熱身中,KEEP
2356.TW,做空(Short),趨勢空頭,空方進場,0.561,0.41,-0.18,0.0183,0.5006,樣本數不足 (0/10)，熱身中,KEEP
2885.TW,做空(Short),區間盤整,空方進場,0.5609,0.47,-0.06,0.0183,0.5245,樣本數不足 (0/10)，熱身中,KEEP
9946.TW,做空(Short),趨勢空頭,空方進場,0.5608,0.38,-0.24,0.0182,0.4885,樣本數不足 (0/10)，熱身中,KEEP
6918.TW,做空(Short),趨勢空頭,空方進場,0.5607,0.38,-0.24,0.0182,0.4884,樣本數不足 (0/10)，熱身中,KEEP
8940.TW,做空(Short),區間盤整,空方進場,0.5601,0.44,-0.12,0.018,0.5121,樣本數不足 (0/10)，熱身中,KEEP
2609.TW,做空(Short),趨勢空頭,空方進場,0.5601,0.41,-0.18,0.018,0.5001,樣本數不足 (0/10)，熱身中,KEEP
2520.TW,做空(Short),區間盤整,空方進場,0.5599,0.44,-0.12,0.018,0.5119,樣本數不足 (0/10)，熱身中,KEEP
6928.TW,做空(Short),趨勢空頭,空方進場,0.5595,0.41,-0.18,0.0179,0.4997,樣本數不足 (0/10)，熱身中,KEEP
2349.TW,做多(Long),區間盤整,多方進場,0.5521,0.53,0.06,0.0179,0.5433,樣本數不足 (0/10)，熱身中,KEEP
3617.TW,做空(Short),趨勢空頭,空方進場,0.5591,0.38,-0.24,0.0177,0.4875,樣本數不足 (0/10)，熱身中,KEEP
1903.TW,做空(Short),趨勢空頭,空方進場,0.5588,0.47,-0.06,0.0176,0.5233,樣本數不足 (0/10)，熱身中,KEEP
1789.TW,做空(Short),區間盤整,空方進場,0.5586,0.47,-0.06,0.0176,0.5232,樣本數不足 (0/10)，熱身中,KEEP
3686.TW,做空(Short),區間盤整,空方進場,0.5585,0.44,-0.12,0.0176,0.5111,樣本數不足 (0/10)，熱身中,KEEP
