Ticker SYMBOL,產業類別,產業類別名稱,資料年月,單月營收年增率(%)
1708.TW,21,21,2026-02,-18.95
1709.TW,21,21,2026-02,-20.66
1710.TW,21,21,2026-02,-38.75
1711.TW,21,21,2026-02,-25.0
1712.TW,21,21,2026-02,-9.0
1713.TW,21,21,2026-02,-7.98
1714.TW,21,21,2026-02,14.87
1717.TW,21,21,2026-02,-19.29
1718.TW,21,21,2026-02,-0.06
1720.TW,22,22,2026-02,-16.44
1721.TW,21,21,2026-02,-40.31
1722.TW,21,21,2026-02,-6.35
1723.TW,21,21,2026-02,-34.14
1725.TW,21,21,2026-02,-23.81
1726.TW,21,21,2026-02,-18.41
1727.TW,21,21,2026-02,-0.01
1730.TW,21,21,2026-02,0.01
1731.TW,22,22,2026-02,3.67
1732.TW,21,21,2026-02,-9.33
1733.TW,22,22,2026-02,-12.03
1734.TW,22,22,2026-02,-17.36
1735.TW,21,21,2026-02,-44.45
1736.TW,37,37,2026-02,4.63
1737.TW,2,2,2026-02,-11.22
1752.TW,22,22,2026-02,-20.04
1760.TW,22,22,2026-02,-4.46
1762.TW,22,22,2026-02,161.27
1773.TW,21,21,2026-02,-9.9
1776.TW,21,21,2026-02,-38.83
1783.TW,22,22,2026-02,20.91
1786.TW,22,22,2026-02,0.07
1789.TW,22,22,2026-02,26.34
1795.TW,22,22,2026-02,131.52
1802.TW,8,8,2026-02,-17.59
1805.TW,14,14,2026-02,-99.73
1806.TW,8,8,2026-02,-57.7
1808.TW,14,14,2026-02,117765.91
1809.TW,8,8,2026-02,1.09
1810.TW,8,8,2026-02,-23.45
1817.TW,8,8,2026-02,-19.16
1903.TW,9,9,2026-02,-16.11
1904.TW,9,9,2026-02,-24.6
1905.TW,9,9,2026-02,-35.56
1906.TW,9,9,2026-02,-47.65
1907.TW,9,9,2026-02,-20.63
1909.TW,9,9,2026-02,-23.1
2002.TW,10,10,2026-02,-12.93
2006.TW,10,10,2026-02,-30.64
2007.TW,10,10,2026-02,-49.71
2008.TW,10,10,2026-02,-36.09
2009.TW,10,10,2026-02,41.89
2010.TW,10,10,2026-02,1.07
2012.TW,10,10,2026-02,-22.73
2013.TW,10,10,2026-02,-9.88
2014.TW,10,10,2026-02,-24.46
2015.TW,10,10,2026-02,-41.9
2017.TW,10,10,2026-02,-2.96
2020.TW,10,10,2026-02,-34.95
2022.TW,10,10,2026-02,47.66
2023.TW,10,10,2026-02,-22.3
2024.TW,10,10,2026-02,-40.59
2025.TW,10,10,2026-02,-16.09
2027.TW,10,10,2026-02,13.64
2028.TW,10,10,2026-02,-35.4
2029.TW,10,10,2026-02,-38.35
2030.TW,10,10,2026-02,-5.3
2031.TW,10,10,2026-02,-38.59
2032.TW,10,10,2026-02,-29.12
2033.TW,10,10,2026-02,-40.98
2034.TW,10,10,2026-02,-41.42
2038.TW,10,10,2026-02,-55.97
2049.TW,5,5,2026-02,-3.03
2059.TW,28,28,2026-02,31.15
2062.TW,38,38,2026-02,-22.71
2069.TW,10,10,2026-02,-9.13
2101.TW,11,11,2026-02,-23.52
2102.TW,11,11,2026-02,-63.83
2103.TW,11,11,2026-02,-17.23
2104.TW,11,11,2026-02,-22.98
2105.TW,11,11,2026-02,-17.0
2106.TW,11,11,2026-02,-11.79
2107.TW,11,11,2026-02,-47.26
2108.TW,11,11,2026-02,0.19
2109.TW,11,11,2026-02,-19.23
2114.TW,11,11,2026-02,-12.37
2115.TW,12,12,2026-02,-13.43
2201.TW,12,12,2026-02,-3.6
2204.TW,12,12,2026-02,3.59
2206.TW,12,12,2026-02,-10.75
2207.TW,12,12,2026-02,-15.38
2208.TW,15,15,2026-02,38.94
2211.TW,10,10,2026-02,-30.88
2227.TW,12,12,2026-02,-40.93
2228.TW,12,12,2026-02,-5.31
2231.TW,12,12,2026-02,-16.66
2233.TW,12,12,2026-02,-21.54
2236.TW,12,12,2026-02,-1.07
2239.TW,12,12,2026-02,-3.14
2241.TW,12,12,2026-02,45.48
2243.TW,12,12,2026-02,739.37
2247.TW,12,12,2026-02,-46.52
2248.TW,12,12,2026-02,7.35
2250.TW,12,12,2026-02,-16.98
2254.TW,12,12,2026-02,-90.98
2258.TW,12,12,2026-02,-29.99
2301.TW,25,25,2026-02,17.36
2302.TW,24,24,2026-02,38.91
2303.TW,24,24,2026-02,6.33
2305.TW,25,25,2026-02,34.16
2308.TW,28,28,2026-02,31.0
2312.TW,31,31,2026-02,-19.38
2313.TW,28,28,2026-02,0.01
2314.TW,27,27,2026-02,3.1
2316.TW,28,28,2026-02,-4.32
2317.TW,31,31,2026-02,8.06
2321.TW,27,27,2026-02,-17.45
2323.TW,26,26,2026-02,13.13
2324.TW,25,25,2026-02,-21.91
2327.TW,28,28,2026-02,17.97
2328.TW,28,28,2026-02,-34.32
2329.TW,24,24,2026-02,12.21
2330.TW,24,24,2026-02,22.17
2331.TW,25,25,2026-02,66.97
2332.TW,27,27,2026-02,-1.37
2337.TW,24,24,2026-02,59.98
2338.TW,24,24,2026-02,-14.5
2340.TW,24,24,2026-02,-2.76
2342.TW,24,24,2026-02,-15.28
2344.TW,24,24,2026-02,88.45
2345.TW,27,27,2026-02,82.7
2347.TW,29,29,2026-02,5.78
2348.TW,20,20,2026-02,239.77
2349.TW,26,26,2026-02,-22.32
2351.TW,24,24,2026-02,1.74
2352.TW,25,25,2026-02,-7.34
2353.TW,25,25,2026-02,25.68
2354.TW,31,31,2026-02,-23.53
2355.TW,28,28,2026-02,-4.9
2356.TW,25,25,2026-02,-1.43
2357.TW,25,25,2026-02,19.12
2359.TW,31,31,2026-02,-38.49
2360.TW,31,31,2026-02,86.04
2362.TW,25,25,2026-02,19.04
2363.TW,24,24,2026-02,210.94
2364.TW,25,25,2026-02,-1.34
2365.TW,25,25,2026-02,0.51
2367.TW,28,28,2026-02,-19.13
2368.TW,28,28,2026-02,53.91
2369.TW,24,24,2026-02,26.07
2371.TW,5,5,2026-02,-1.94
2373.TW,31,31,2026-02,-15.04
2374.TW,26,26,2026-02,32.22
2375.TW,28,28,2026-02,5.49
2376.TW,25,25,2026-02,47.4
2377.TW,25,25,2026-02,-2.9
2379.TW,24,24,2026-02,-7.41
2380.TW,25,25,2026-02,0.7
2382.TW,25,25,2026-02,43.18
2383.TW,28,28,2026-02,45.01
2385.TW,28,28,2026-02,-12.58
2387.TW,25,25,2026-02,-32.69
2388.TW,24,24,2026-02,-3.76
2390.TW,31,31,2026-02,-38.89
2392.TW,28,28,2026-02,-20.97
2393.TW,26,26,2026-02,-5.11
2395.TW,25,25,2026-02,6.27
2397.TW,25,25,2026-02,3.28
2399.TW,25,25,2026-02,2.56
2401.TW,24,24,2026-02,-7.21
2402.TW,28,28,2026-02,10.62
2404.TW,31,31,2026-02,68.9
2405.TW,25,25,2026-02,-20.7
2406.TW,26,26,2026-02,159.77
2408.TW,24,24,2026-02,586.71
