Ticker,Preferred_Period,Preferred_Interval,Preferred_Provider,Target_File
1604.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1604.TW_ohlcv.csv
1605.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1605.TW_ohlcv.csv
1608.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1608.TW_ohlcv.csv
1609.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1609.TW_ohlcv.csv
1611.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1611.TW_ohlcv.csv
1612.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1612.TW_ohlcv.csv
1614.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1614.TW_ohlcv.csv
1615.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1615.TW_ohlcv.csv
1616.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1616.TW_ohlcv.csv
1617.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1617.TW_ohlcv.csv
1618.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1618.TW_ohlcv.csv
1623.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1623.TW_ohlcv.csv
1626.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1626.TW_ohlcv.csv
1702.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1702.TW_ohlcv.csv
1707.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1707.TW_ohlcv.csv
1708.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1708.TW_ohlcv.csv
1709.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1709.TW_ohlcv.csv
1710.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1710.TW_ohlcv.csv
1711.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1711.TW_ohlcv.csv
