Ticker SYMBOL,資料年月日,毛利率(%),營業利益率(%),單季EPS,ROE(%),稅後淨利率(%),營業現金流,預估殖利率(%),負債比率(%),本業獲利比(%)
1410.TW,2025-09-30,15.66,-23.22,0.43,2.49,67.26,52286000.0,164.0,16.36,-19.31
1413.TW,2025-12-31,2.52,0.23,,0.32,0.78,-205983000.0,,58.46,12.64
1413.TW,2025-06-30,9.47,7.32,0.42,4.98,9.12,191666000.0,,53.84,71.51
1414.TW,2025-12-31,15.75,-3.55,,0.56,14.88,-20956000.0,120.0,30.58,-21.14
1414.TW,2025-09-30,10.51,-7.9,0.11,0.7,21.97,41480000.0,120.0,25.18,-33.92
1416.TW,2025-12-31,43.12,8.8,,0.7,27.88,60618000.0,491.0,26.97,26.07
1416.TW,2025-09-30,33.69,-4.49,0.39,1.71,84.45,73378000.0,491.0,26.79,-5.74
1417.TW,2025-12-31,55.07,16.97,,3.56,50.12,82063000.0,,16.67,28.77
1417.TW,2025-09-30,49.27,-7.81,0.17,1.35,32.52,13014000.0,,17.0,-24.02
1418.TW,2025-12-31,208.69,-991.43,,4.18,2984.48,-42998000.0,,77.99,-16.89
1418.TW,2025-09-30,100.0,-37247.17,-0.71,-3.28,-72941.51,-60909000.0,,77.69,51.06
1419.TW,2025-12-31,27.15,10.89,,1.26,14.91,119818000.0,248.0,30.4,62.3
1419.TW,2025-09-30,23.33,7.81,1.96,3.39,46.75,195184000.0,248.0,30.12,15.96
1423.TW,2025-12-31,-15.75,-64.99,,0.8,162.03,-6884000.0,201.0,6.3,-29.02
1423.TW,2025-09-30,45.08,-52.26,2.68,6.83,1105.39,147230000.0,201.0,5.89,-4.72
1432.TW,2025-12-31,34.83,-28.7,,37.41,221.53,-350792000.0,,57.65,-12.43
1432.TW,2025-09-30,43.27,-4.54,-0.18,-1.63,-5.4,88569000.0,,78.92,69.86
1434.TW,2025-12-31,10.73,1.39,,0.9,6.24,223998000.0,485.0,25.9,19.44
1434.TW,2025-06-30,11.42,3.85,-0.02,-0.1,-0.48,765173000.0,485.0,31.72,-1352.8
1435.TW,2025-12-31,64.71,-1427.47,,-2.21,-1466.51,-22178000.0,,15.63,97.34
1435.TW,2025-09-30,64.68,-804.15,-0.07,-0.84,-630.37,-11661000.0,,14.18,127.57
1436.TW,2025-12-31,52.84,-23.97,,-1.2,-41.85,-235225000.0,1407.0,67.98,48.8
1436.TW,2025-06-30,49.77,40.18,1.48,6.36,27.87,-32577000.0,1407.0,73.44,108.91
1437.TW,2025-12-31,46.59,37.58,,1.99,70.55,82896000.0,599.0,39.64,48.74
1437.TW,2025-09-30,63.6,52.23,1.44,3.53,96.46,155999000.0,599.0,39.48,52.29
1438.TW,2025-12-31,29.82,25.89,,9.35,23.71,348573000.0,,78.24,114.74
1438.TW,2025-09-30,42.52,-9.28,-0.27,-1.04,-146.0,-1444153000.0,,80.07,6.35
1439.TW,2025-09-30,25.22,16.25,0.87,2.43,28.37,106309000.0,109.0,43.58,56.47
1439.TW,2025-06-30,29.03,11.69,0.49,1.41,46.64,45304000.0,109.0,45.52,23.38
1440.TW,2025-12-31,7.45,-4.9,,-0.65,-5.55,487233000.0,236.0,38.92,1095.86
1440.TW,2025-09-30,6.838004,-5.853369,0.002823,0.016842,0.143852,531198000.0,220.0,38.579925,-2687.207004
1441.TW,2025-12-31,-0.79,-10.91,,-2.74,-3.37,1374000.0,,66.82,90.59
1441.TW,2025-09-30,4.99,-5.29,-0.35,-5.4,-7.01,60999000.0,,65.85,75.39
1442.TW,2025-12-31,49.04,34.02,,2.45,30.84,59272000.0,1721.0,44.01,95.77
1442.TW,2025-09-30,47.66,34.34,0.46,2.13,29.9,98567000.0,1721.0,44.24,99.34
1443.TW,2025-12-31,47.79,33.35,,4.42,35.91,165842000.0,,76.55,69.54
1443.TW,2025-09-30,48.36,33.75,0.46,3.29,25.26,150316000.0,,76.0,141.66
1444.TW,2025-12-31,4.59,-3.0,,-0.9,-5.46,225439000.0,,44.5,50.14
1444.TW,2025-09-30,-0.51,-9.77,-0.34,-3.06,-19.54,32679000.0,,45.29,40.88
1445.TW,2025-12-31,6.55,-24.79,,-1.86,-20.65,42283000.0,403.0,52.5,184.98
1445.TW,2025-09-30,9.76,-12.25,-0.16,-0.93,-12.09,85496000.0,403.0,51.05,142.66
1446.TW,2025-12-31,0.46,-91.72,,-2.09,-182.1,60860000.0,1220.0,13.08,177.74
1446.TW,2025-09-30,43.17,32.24,0.59,2.87,36.76,5865000.0,1220.0,11.65,84.33
1447.TW,2025-12-31,1.59,-0.55,,-3.84,-4.74,278528000.0,,48.06,12.26
1447.TW,2025-09-30,-0.32,-2.99,-0.12,-1.17,-1.52,-373575000.0,,51.44,177.47
1449.TW,2025-12-31,0.84,-24.84,,1.49,5.07,-117685000.0,,63.52,-95.37
1449.TW,2025-09-30,3.31,-20.98,-0.28,-1.42,-7.14,-69593000.0,,64.25,477.76
1451.TW,2025-12-31,13.21,2.65,,0.85,3.96,171398000.0,551.0,15.25,40.36
1451.TW,2025-09-30,11.28,1.9,0.55,1.5,6.96,123616000.0,551.0,14.25,21.57
1452.TW,2025-12-31,0.28,-7.52,,-0.38,-3.28,-47629000.0,417.0,4.95,271.23
1452.TW,2025-09-30,0.08,-6.62,0.14,0.71,5.48,84256000.0,417.0,4.67,-110.59
1453.TW,2025-12-31,912.85,-2853.4,,-0.04,-160.71,-97413000.0,,50.38,3173.11
1453.TW,2025-09-30,56.76,-2292.19,0.15,1.2,5253.15,-104021000.0,,48.79,-43.58
1454.TW,2025-12-31,-0.56,-11.36,,-3.75,-14.43,6618000.0,194.0,30.6,117.51
1454.TW,2025-06-30,3.66,-6.34,-0.52,-4.36,-15.35,9661000.0,194.0,29.22,34.45
1455.TW,2025-12-31,-0.44,-5.93,,-2.99,-14.26,352076000.0,,36.88,33.12
1455.TW,2025-09-30,-2.46,-7.98,-0.05,-0.49,-2.08,537160000.0,,36.32,240.69
1456.TW,2025-12-31,46.73,248.19,,20.85,194.73,-63516000.0,,85.42,116.06
1456.TW,2025-09-30,39.76,24.22,-0.34,-2.09,-19.88,-142726000.0,,87.86,-123.44
1457.TW,2025-12-31,6.94,33.56,,1.96,27.23,-738411000.0,612.0,48.51,95.5
1457.TW,2025-09-30,9.11,3.39,0.04,0.11,1.43,31182000.0,612.0,49.56,109.88
1459.TW,2025-12-31,15.2,6.56,,1.87,23.26,95704000.0,,24.82,25.19
1459.TW,2025-06-30,14.14,4.43,0.83,8.32,101.93,73795000.0,,33.82,4.6
1460.TW,2025-12-31,16.5,1.1,,0.06,0.17,100317000.0,,49.7,87.69
1460.TW,2025-09-30,13.04,-3.69,-0.1,-1.23,-3.82,-23611000.0,,51.15,107.89
1463.TW,2025-12-31,-148.35,-212.45,,-4.01,-204.74,413020000.0,1170.0,12.91,114.52
1463.TW,2025-09-30,-6.02,-40.66,0.56,3.42,165.47,118862000.0,1170.0,21.07,-23.88
1464.TW,2025-12-31,19.39,5.76,,2.38,4.22,167681000.0,483.0,66.15,133.06
1464.TW,2025-09-30,16.05,-0.33,0.14,1.11,2.0,294340000.0,483.0,68.13,-20.02
1465.TW,2025-12-31,-4.05,-24.79,,1.25,24.75,12990000.0,492.0,10.06,-98.05
1465.TW,2025-09-30,-8.9,-25.29,0.21,1.37,24.12,34855000.0,492.0,9.36,-86.12
1466.TW,2025-12-31,0.54,-9.47,,-3.12,-7.71,159686000.0,,55.54,86.87
1466.TW,2025-09-30,8.02,-3.98,-0.26,-1.76,-4.83,49228000.0,,56.11,86.9
1467.TW,2025-12-31,23.39,1.92,,2.64,6.11,430934000.0,,65.91,27.66
1467.TW,2025-09-30,17.93,0.1,0.01,0.11,0.21,87967000.0,,67.82,3.12
1468.TW,2025-12-31,18.12,2.31,,2.75,22.57,38676000.0,,54.24,7.55
1468.TW,2025-09-30,20.65,6.21,0.33,3.78,28.16,31229000.0,,53.87,21.03
1470.TW,2025-12-31,30.3,17.92,,3.92,18.81,55238000.0,468.0,12.66,76.57
1470.TW,2025-09-30,19.3,3.54,0.25,2.21,11.96,21519000.0,468.0,14.11,24.34
1471.TW,2025-12-31,5.75,-72.91,,0.83,37.78,1492000.0,,7.6,-190.3
1471.TW,2025-09-30,8.45,-47.47,-0.04,-0.37,-12.24,6760000.0,,7.44,387.8
1472.TW,2025-12-31,11.18,7.14,,2.97,7.46,234074000.0,313.0,57.61,84.43
1472.TW,2025-09-30,13.85,10.39,1.5,3.83,9.2,-147457000.0,313.0,58.58,98.42
1473.TW,2025-12-31,13.69,-4.13,,-0.75,-2.31,-191533000.0,839.0,28.54,225.77
1473.TW,2025-09-30,11.95,-3.77,-0.14,-0.56,-1.47,238400000.0,839.0,26.52,373.22
1474.TW,2025-12-31,9.34,-2.24,,0.3,0.87,36681000.0,403.0,41.06,-626.61
1474.TW,2025-09-30,10.69,0.95,0.14,0.9,2.6,60514000.0,403.0,42.35,34.27
1475.TW,2025-12-31,18.08,12.2,,5.5,23.48,189435000.0,520.0,32.57,41.27
