Ticker,Reference_Price,Source
1503.TW,183.0,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1504.TW,59.5,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1506.TW,11.149999618530272,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1512.TW,7.440000057220459,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1513.TW,150.0,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1514.TW,103.0,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1515.TW,23.799999237060547,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1516.TW,20.299999237060547,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1517.TW,11.100000381469728,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1519.TW,806.0,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1521.TW,25.049999237060547,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1522.TW,31.64999961853028,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1524.TW,29.850000381469727,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1525.TW,62.400001525878906,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1526.TW,16.299999237060547,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1527.TW,32.45000076293945,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1528.TW,27.049999237060547,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1529.TW,24.89999961853028,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1530.TW,26.600000381469727,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1531.TW,13.100000381469728,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1532.TW,22.100000381469727,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1533.TW,30.799999237060547,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1535.TW,52.400001525878906,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1536.TW,48.150001525878906,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1537.TW,124.0,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1538.TW,12.75,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1539.TW,16.399999618530273,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1540.TW,21.950000762939453,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1541.TW,26.549999237060547,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1558.TW,92.1999969482422,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1560.TW,508.0,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1563.TW,42.04999923706055,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1568.TW,22.600000381469727,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1582.TW,99.9000015258789,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1583.TW,44.34999847412109,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1587.TW,36.20000076293945,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1589.TW,5.539999961853027,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1590.TW,1075.0,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1597.TW,90.0999984741211,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
